FCM.E3R3.ITS_Stalk	FCM.E4R2.ITS_Stalk	FCS.E3R2.ITS_Stalk	RZO.E2R1.ITS_Root	ECI.E2R2.ITS_Stalk	EPE.E3R3.ITS_Root	EFO.E3R1.ITS_Leaf	FCM.E2R2.ITS_Stalk	RZO.E4R3.ITS_Root	FCI.E2R2.ITS_Stalk	ERA.E4R1.ITS_Root	FFO.E3R1.ITS_Leaf	EPE.E2R3.ITS_Root	ECI.E3R3.ITS_Stalk	ECM.E2R1.ITS_Stalk	EFO.E3R3.ITS_Leaf	ERA.E4R3.ITS_Root	FCI.E4R2.ITS_Stalk	FCS.E4R1.ITS_Stalk	FFO.E4R3.ITS_Leaf	FCM.E2R1.ITS_Stalk	ERA.E2R1.ITS_Root	RZO.E3R3.ITS_Root	EPE.E3R1.ITS_Root	FCM.E4R3.ITS_Stalk	ECI.E3R1.ITS_Stalk	ECI.E1R3.ITS_Stalk	FCS.E2R2.ITS_Stalk	FCI.E1R2.ITS_Stalk	ERA.E1R1.ITS_Root	EFO.E2R2.ITS_Leaf	FCS.E2R1.ITS_Stalk	FCM.E1R1.ITS_Stalk	EPE.E4R3.ITS_Root	ECM.E4R1.ITS_Stalk	ECI.E4R3.ITS_Stalk	ERA.E1R2.ITS_Root	FCI.E2R3.ITS_Stalk	EPE.E3R2.ITS_Root	FFO.E1R2.ITS_Leaf	FCS.E1R2.ITS_Stalk	ECI.E2R1.ITS_Stalk	ECM.E2R2.ITS_Stalk	FCM.E2R3.ITS_Stalk	FCM.E4R1.ITS_Stalk	EPE.E2R2.ITS_Root	FCI.E3R2.ITS_Stalk	FCS.E3R1.ITS_Stalk	EFO.E1R1.ITS_Leaf	ECM.E3R2.ITS_Stalk	ECM.E4R2.ITS_Stalk	ECI.E1R1.ITS_Stalk	ECS.E3R3.ITS_Stalk	FFO.E2R3.ITS_Leaf	ECI.E4R2.ITS_Stalk	ECM.E3R3.ITS_Stalk	EPE.E1R3.ITS_Root	RZO.E1R3.ITS_Root	ECS.E2R1.ITS_Stalk	ERA.E3R3.ITS_Root	FCM.E3R2.ITS_Stalk	EFO.E1R2.ITS_Leaf	EFO.E4R2.ITS_Leaf	ECM.E1R2.ITS_Stalk	FFO.E1R1.ITS_Leaf	ERA.E3R2.ITS_Root	FCS.E4R2.ITS_Stalk	RZO.E4R2.ITS_Root	FFO.E3R2.ITS_Leaf	ECM.E1R1.ITS_Stalk	EPE.E2R1.ITS_Root	RZO.E2R2.ITS_Root	FFO.E4R1.ITS_Leaf	ECS.E1R3.ITS_Stalk	RZO.E4R1.ITS_Root	RZO.E3R2.ITS_Root	FCI.E3R1.ITS_Stalk	RZO.E2R3.ITS_Root	FCM.E1R3.ITS_Stalk	ECS.E1R1.ITS_Stalk	ECS.E2R3.ITS_Stalk	ECS.E1R2.ITS_Stalk	ECS.E3R1.ITS_Stalk	FCS.E3R3.ITS_Stalk	EFO.E1R3.ITS_Leaf	FCI.E3R3.ITS_Stalk	FCI.E2R1.ITS_Stalk	FCI.E1R1.ITS_Stalk	EPE.E4R2.ITS_Root	FCI.E4R3.ITS_Stalk	ECM.E3R1.ITS_Stalk	FCS.E1R3.ITS_Stalk	FCS.E1R1.ITS_Stalk	FFO.E4R2.ITS_Leaf	FFO.E2R2.ITS_Leaf	ECM.E1R3.ITS_Stalk	EFO.E4R3.ITS_Leaf	EFO.E3R2.ITS_Leaf	ECI.E2R3.ITS_Stalk	ECS.E2R2.ITS_Stalk	ERA.E1R3.ITS_Root	ERA.E2R2.ITS_Root	ECI.E3R2.ITS_Stalk	ERA.E4R2.ITS_Root	FCS.E2R3.ITS_Stalk	ECM.E2R3.ITS_Stalk	FCS.E4R3.ITS_Stalk	FCI.E4R1.ITS_Stalk	ECS.E4R3.ITS_Stalk	EPE.E1R2.ITS_Root	FFO.E1R3.ITS_Leaf	EFO.E4R1.ITS_Leaf	FCM.E1R2.ITS_Stalk	ECI.E1R2.ITS_Stalk	ERA.E2R3.ITS_Root	FFO.E2R1.ITS_Leaf	EFO.E2R1.ITS_Leaf	ECS.E4R2.ITS_Stalk	EFO.E2R3.ITS_Leaf	ECS.E3R2.ITS_Stalk	RZO.E3R1.ITS_Root	ECM.E4R3.ITS_Stalk	FCM.E3R1.ITS_Stalk	FCI.E1R3.ITS_Stalk	ECI.E4R1.ITS_Stalk	RZO.E1R2.ITS_Root	FFO.E3R3.ITS_Leaf	RZO.E1R1.ITS_Root	EPE.E4R1.ITS_Root	ECS.E4R1.ITS_Stalk	ERA.E3R1.ITS_Root
OTU_2320	94	0	16	0	0	0	0	0	0	2	0	0	0	90	0	0	0	81	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	113	0	0	4	0	14	0	0	0	1	1	2	0	0	2	0	0	1	0	8	0	0	0	0	0	204	0	14	33	0	0	0	0	0	0	31	0	0	0	0	0	0	194	0	179	2	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	10	11	0	0	0	21	0	0	0	49	25	0	0	0	0	0	0	27	0
OTU_398	34	0	0	63	0	0	0	0	0	37	39	0	0	0	0	0	0	4	0	0	0	80	0	0	0	0	0	0	0	1	0	0	1	0	0	0	3	31	0	0	0	0	0	0	1	30	1	0	0	0	0	0	0	0	0	0	28810	0	0	0	1	0	0	0	0	0	0	0	0	0	0	105	0	0	7	0	1	9	0	0	0	0	0	0	0	1	0	15	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	816	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	16	0	0	0	0	0
OTU_308	4	1047	1	0	679	1	0	131	1	0	0	0	14	0	3	0	0	2	0	463	28	0	0	0	930	0	10	26	638	0	0	16	0	3	1675	2930	0	0	3	106	277	0	0	98	0	0	2	693	12	990	0	0	0	132	1803	0	0	7	0	0	0	130	0	1288	107	0	0	1	0	0	0	0	51	0	0	1	0	0	196	7	23	10	1	0	76	0	0	0	1	0	250	254	0	181	81	30	55	9	1198	1	0	0	762	0	0	385	743	456	0	0	88	0	0	1	0	0	0	0	113	0	0	0	0	217	1937	0	263	1	1	0	0
OTU_2499	52	0	0	2	0	0	0	0	0	0	19	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	2	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1471	48	0	3	0	0	0	0	0	0	0	0	49	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1716	115	0	2	21	0	0	0	0	0	14	105	0	0	18	0	0	0	17	0	0	0	4	0	0	2	32	0	0	0	2	0	0	0	0	0	0	6	4	0	0	0	4	0	0	5	0	1	0	0	0	0	0	0	0	0	12	8	0	0	0	1	0	0	0	0	0	2	0	1	0	0	143	0	0	16	0	8	2	0	0	0	0	0	1	0	35	0	4	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	14	48	0	0	0	0	0	0	0	49	9	0	0	12	0	0	0	0	0
OTU_2560	26	0	3	0	0	0	0	0	0	1	0	0	0	85	0	0	0	25	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	100	2	0	2	0	14	0	0	0	1	3	3	0	0	2	0	0	0	0	5	0	0	0	0	0	87	0	1	36	0	0	0	0	0	0	9	0	0	0	0	0	0	75	0	86	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	11	0	0	0	25	0	1	0	55	10	0	0	0	0	0	0	32	0
OTU_34	34	10185	0	0	2	3	0	230	5	0	0	2	9	0	1	0	0	0	2	86285	152	0	1	2	3427	0	1	32	8059	0	0	22	0	23	2305	1271	0	0	16	5539	586	0	0	238	0	0	0	2315	72	0	0	0	0	15474	9	0	0	141	0	3	0	379	0	96	13277	2	0	19	4	0	0	0	41960	0	0	4	0	0	527	1	0	0	281	0	183	1	0	0	3	0	210	2237	0	80752	13921	0	339	156	215	0	9	0	1	0	0	37	2740	544	0	0	10932	2	0	0	0	1	0	0	146	0	7	0	0	270	1296	0	13902	116	63	0	0
OTU_2804	12	0	20	18	0	0	0	0	0	1	123	3	0	24	0	0	0	4	0	0	0	82	0	0	0	11	0	0	0	36	0	0	1	0	0	0	88	3	0	0	0	18	38	0	1	1	1	0	0	0	1	2	2	0	0	30	130	0	13	0	1	0	0	0	0	0	5	0	1	3	0	8	0	0	3	0	0	10	0	0	0	0	0	23	0	8	2	2	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	2	15	0	1	13	5	0	1	0	11	0	1	0	9	2	0	0	27	0	0	0	23	0
OTU_969	1	207	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	19	2	0	0	0	4	0	0	0	22	0	0	0	0	0	0	2	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	14	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	163	0	0	0	5	0	0
OTU_3157	4	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1570	88	0	0	0	0	0	0	0	0	1	0	91	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	4	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	0	0	62	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
OTU_3050	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1136	34	0	1110	0	0	0	0	0	0	5	0	1	0	0	0	0	0	229	0	0	0	0	0	0	0	13	0	0	0	0	0	0	198	0	0	0	0	0	0	0	0	2	183	0	0	0	28	0	0	0	10	17	6	0	0	56	0	0	6	0	28	0	0	0	0	0	320	0	1	7	0	0	0	0	0	0	18	0	0	0	0	0	0	34	0	305	13	0	0	17	0	0	125	0	0	0	0	0	0	0	0	0	0	0	262	0	0	0	2	0	0	0	80	4	0	0	0	0	0	2	0	26	77	0	0	0	0	0	0	7	0
OTU_1875	29	0	67	461	0	0	0	0	0	5	4051	6	0	51	0	1	1	6	0	0	0	2545	0	1	0	17	0	0	0	970	1	0	11	0	0	0	2428	2	0	0	0	68	142	0	0	38	0	0	0	0	20	32	15	0	0	68	3631	0	28	0	2	0	0	0	0	0	22	0	5	32	1	368	0	0	100	0	2	124	0	0	0	0	0	79	0	23	12	15	1	3	0	0	33	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	19	410	0	0	49	17	0	1	0	52	0	7	0	33	3	0	0	787	0	0	0	82	0
OTU_2325	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_948	23	0	0	7	0	0	0	0	0	0	187	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	4	0	0	7	0	0	0	15	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	578	0	0	278	0	0	232	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0
OTU_3322	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1325	4	0	10	0	0	0	0	0	0	3	0	7	0	130	0	2	0	2	0	0	0	0	0	0	0	294	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	165	98	0	1	0	0	0	0	0	82	7	128	0	1	38	1	0	1	0	0	0	2	1	0	0	7	0	12	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	33	13	94	0	2	1	85	0	51	0	165	0	0	0	0	0	0	0	3	0
OTU_1640	13	0	0	1	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2311	29	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
OTU_28	8	925	2	0	8423	3	0	4491	0	8	0	0	124	2	39	0	0	6	11	36	206	0	5	56	1787	1	104	5141	6009	0	0	106	2	10	4546	3074	0	1	18	386	5756	3	0	8974	0	0	3	6041	0	18	0	0	0	322	12924	0	0	1637	0	0	0	143	0	27690	828	0	10	0	0	0	50	0	44	0	0	3	0	0	153894	156	1	4	31	1	78	3	2	2	2	1	34414	12402	0	809	234	3113	80	1	11264	767	17	0	6443	0	0	6255	4378	2228	0	0	699	0	4	2	0	0	0	1	13	0	0	1	0	4559	3547	0	13	24	7	0	1
OTU_2725	35	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
OTU_38	52	10374	17	0	1938	4	0	2011	5	13	0	0	352	0	2	0	0	19	21	171	669	0	1	8	29048	2	5	5032	8621	0	0	317	5	51	9908	9969	0	3	4	13	1363	0	0	6635	2	0	0	29475	4	2154	0	0	0	123	2272	0	0	72	0	0	1	34	0	378	196	0	8	0	0	0	14	0	258	0	0	1	3	0	30378	0	110	0	685	1	0	8	5	0	8	1	1715	3392	0	19	39	812	27	1	4819	0	0	1	228	0	1	718	18516	5362	0	0	198	0	0	0	0	0	0	0	8	0	0	0	4	6899	4557	0	41	67	10	0	0
OTU_1637	6	0	0	0	0	0	0	0	0	1	94	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
OTU_2538	133	0	125	5	0	0	0	0	0	91	0	0	0	275	0	0	0	96	0	0	0	1	0	0	0	89	0	0	0	0	0	0	91	0	0	0	0	69	0	0	0	485	238	0	3	1	8	0	0	0	2	19	19	0	0	316	17	0	0	0	4	0	0	0	0	0	17	0	2	5	0	3	0	0	1	0	8	0	0	0	0	0	0	484	0	103	42	821	0	10	0	0	636	0	0	1	0	0	1	0	0	0	0	0	10	1	0	0	12	0	0	1	847	1584	0	1	0	108	0	42	0	768	36	0	0	1	0	0	0	665	0
OTU_708	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	1397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1624	10	264	3	0	78	0	0	46	1	2	0	0	12	0	1	0	0	3	0	4	24	0	0	0	725	0	0	127	246	0	0	11	0	1	326	415	0	1	1	0	37	0	0	181	1	0	0	782	0	75	0	0	0	2	110	0	0	1	0	0	0	2	0	12	5	0	2	0	0	0	0	0	5	0	0	0	0	0	800	0	5	0	18	0	0	0	3	0	0	0	56	90	0	1	1	19	0	0	193	0	0	0	7	0	0	18	483	159	0	0	9	0	0	0	0	0	0	0	0	0	0	1	0	185	176	0	0	1	0	0	0
OTU_575	2	227	0	0	0	0	0	5	0	0	0	0	1	0	1	0	0	0	0	376	5	0	0	2	43	0	0	0	1196	0	0	1	0	4	1	1	0	0	0	692	1	0	0	2	0	0	0	164	38	40	0	0	0	101	0	0	0	8	0	1	0	151	0	0	764	3	0	0	0	0	0	0	174	0	0	0	0	0	15	0	0	0	0	0	130	0	1	0	0	0	1	3	0	359	143	0	36	0	3	0	0	0	0	0	0	0	64	50	0	0	473	0	0	0	0	0	0	0	56	0	0	0	0	175	58	0	992	1	0	0	0
OTU_200	8	5359	1	0	275	0	1	299	0	0	0	2	10	0	2	0	0	2	4	3927	113	0	0	1	4153	0	4	76	5494	0	0	15	0	12	1733	3432	0	0	0	1547	1710	0	0	125	0	0	0	3135	85	561	0	0	0	1795	257	0	0	57	0	0	0	429	0	1941	1436	0	0	0	0	0	1	0	3747	2	0	19	0	0	1563	6	17	3	3	0	304	4	0	0	1	0	737	1964	0	3452	936	14	134	34	1330	1	1	2	702	0	0	148	2619	1009	0	0	2041	0	0	0	0	0	0	0	283	0	1	0	2	610	2835	0	2648	58	30	0	0
OTU_2509	21	0	0	0	0	0	0	0	0	12	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	13	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_531	17	0	0	7	0	0	0	0	0	4	67	0	0	0	0	0	0	2	0	0	0	40	0	0	0	0	0	0	0	3	0	0	4	0	0	0	3	2	0	0	0	18	0	0	3	28	0	0	0	0	0	5	0	0	0	0	2325	0	0	0	0	0	0	0	0	0	0	0	1	0	0	88	0	0	10	0	0	3	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0
OTU_661	11	0	0	24	0	0	0	0	0	0	483	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	22	0	0	7	0	0	0	59	3	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	77	0	0	36	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU_1277	21	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU_1955	19	0	573	0	0	0	0	0	0	4	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	15	0	0	0	18	0	0	0	1	0	2	0	0	2	0	0	0	0	27	0	0	0	0	0	164	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	16	0	146	3	0	0	9	0	0	68	0	0	0	0	0	0	0	0	0	0	0	116	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	3	37	0	0	0	0	0	0	0	0
OTU_14	54	5861	96	0	4	0	0	446	10	0	0	0	5	0	2	0	0	52	89	614	85	0	0	93	274326	0	2	1331	77	0	0	137	0	743	328	32034	0	0	62	1	234	0	1	11464	3	0	0	127536	0	1625	0	0	0	0	14	0	0	0	0	0	6	2	0	1	19	0	1	9	0	0	0	0	44	0	0	1	70	0	138	1	1	0	13	21	0	0	0	0	31	9	5	359	0	17	568	4	0	6	1	0	0	0	15	0	0	545	78040	17	0	0	159	0	0	0	0	0	0	0	9	0	0	6	8	822	134	0	6	0	24	0	0
OTU_89	2	1598	0	0	3201	11	0	19	0	1	0	0	560	0	0	0	0	0	0	1	17	0	0	1059	88	0	9	14	20657	0	0	5	0	1	15224	14553	0	0	188	1	76	0	0	89	0	0	0	14	5	532	0	1	0	0	3208	0	1	28	0	0	0	2	0	1449	0	1	0	0	0	0	682	0	0	0	0	2	0	0	158	3	57	0	396	0	0	0	0	0	1	0	31075	1022	0	0	0	18	0	0	1323	1	10	15	25936	0	0	5	1	206	0	0	1	0	0	0	7	0	0	0	2	0	2	0	0	872	5694	0	0	18	58	0	1
OTU_3200	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2617	36	0	91	0	0	0	0	0	0	13	0	0	0	30	0	0	0	15	0	0	0	1	0	0	0	6	0	0	0	0	0	0	9	0	0	0	0	13	0	0	0	25	92	0	1	0	4	0	0	0	0	4	1	0	0	44	1	0	14	0	1	0	0	0	0	0	42	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	115	0	30	15	22	0	5	0	0	45	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	15	0	0	0	72	4	0	0	0	23	0	2	0	12	6	0	0	0	0	0	0	40	0
OTU_687	51	2	1747	15	0	0	0	60	0	9	20	154	0	3	0	1	0	334	0	0	14	0	0	0	18	182	0	10	0	0	12	1	381	0	6	0	0	0	0	0	22	15	1097	36	2	0	56	11	0	1	64	134	51	0	0	533	8	0	24	0	57	0	5	0	0	0	404	0	509	76	0	43	0	0	5	0	46	4	0	0	0	0	0	32	0	517	26	1	0	27	2	0	223	0	1	0	0	0	0	0	0	0	0	0	208	13	39	9	13	1	1	34	125	13	0	441	42	10	0	15	0	146	180	2	0	2	1	0	0	50	0
OTU_2865	28	0	30	0	0	0	0	0	0	2	0	9	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	8	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_3010	1	0	1	0	0	0	0	0	0	0	0	18	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
OTU_2347	23	0	38	0	0	0	0	0	0	20	0	0	0	25	0	0	0	19	0	0	0	0	0	0	0	6	0	0	0	0	0	0	19	0	0	0	0	17	0	0	0	28	14	0	2	0	2	0	0	0	0	0	1	0	0	21	3	0	0	0	2	0	0	0	0	0	10	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	63	0	27	8	136	0	8	0	0	40	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	59	106	0	0	0	5	0	2	0	59	2	0	0	0	0	0	0	46	0
