FCM.E3R3.ITS_Stalk	FCM.E4R2.ITS_Stalk	FCS.E3R2.ITS_Stalk	RZO.E2R1.ITS_Root	ECI.E2R2.ITS_Stalk	EPE.E3R3.ITS_Root	EFO.E3R1.ITS_Leaf	FCM.E2R2.ITS_Stalk	RZO.E4R3.ITS_Root	FCI.E2R2.ITS_Stalk	ERA.E4R1.ITS_Root	FFO.E3R1.ITS_Leaf	EPE.E2R3.ITS_Root	ECI.E3R3.ITS_Stalk	ECM.E2R1.ITS_Stalk	EFO.E3R3.ITS_Leaf	ERA.E4R3.ITS_Root	FCI.E4R2.ITS_Stalk	FCS.E4R1.ITS_Stalk	FFO.E4R3.ITS_Leaf	FCM.E2R1.ITS_Stalk	ERA.E2R1.ITS_Root	RZO.E3R3.ITS_Root	EPE.E3R1.ITS_Root	FCM.E4R3.ITS_Stalk	ECI.E3R1.ITS_Stalk	ECI.E1R3.ITS_Stalk	FCS.E2R2.ITS_Stalk	FCI.E1R2.ITS_Stalk	ERA.E1R1.ITS_Root	EFO.E2R2.ITS_Leaf	FCS.E2R1.ITS_Stalk	FCM.E1R1.ITS_Stalk	EPE.E4R3.ITS_Root	ECM.E4R1.ITS_Stalk	ECI.E4R3.ITS_Stalk	ERA.E1R2.ITS_Root	FCI.E2R3.ITS_Stalk	EPE.E3R2.ITS_Root	FFO.E1R2.ITS_Leaf	FCS.E1R2.ITS_Stalk	ECI.E2R1.ITS_Stalk	ECM.E2R2.ITS_Stalk	FCM.E2R3.ITS_Stalk	FCM.E4R1.ITS_Stalk	EPE.E2R2.ITS_Root	FCI.E3R2.ITS_Stalk	FCS.E3R1.ITS_Stalk	EFO.E1R1.ITS_Leaf	ECM.E3R2.ITS_Stalk	ECM.E4R2.ITS_Stalk	ECI.E1R1.ITS_Stalk	ECS.E3R3.ITS_Stalk	FFO.E2R3.ITS_Leaf	ECI.E4R2.ITS_Stalk	ECM.E3R3.ITS_Stalk	EPE.E1R3.ITS_Root	RZO.E1R3.ITS_Root	ECS.E2R1.ITS_Stalk	ERA.E3R3.ITS_Root	FCM.E3R2.ITS_Stalk	EFO.E1R2.ITS_Leaf	EFO.E4R2.ITS_Leaf	ECM.E1R2.ITS_Stalk	FFO.E1R1.ITS_Leaf	ERA.E3R2.ITS_Root	FCS.E4R2.ITS_Stalk	RZO.E4R2.ITS_Root	FFO.E3R2.ITS_Leaf	ECM.E1R1.ITS_Stalk	EPE.E2R1.ITS_Root	RZO.E2R2.ITS_Root	FFO.E4R1.ITS_Leaf	ECS.E1R3.ITS_Stalk	RZO.E4R1.ITS_Root	RZO.E3R2.ITS_Root	FCI.E3R1.ITS_Stalk	RZO.E2R3.ITS_Root	FCM.E1R3.ITS_Stalk	ECS.E1R1.ITS_Stalk	ECS.E2R3.ITS_Stalk	ECS.E1R2.ITS_Stalk	ECS.E3R1.ITS_Stalk	FCS.E3R3.ITS_Stalk	EFO.E1R3.ITS_Leaf	FCI.E3R3.ITS_Stalk	FCI.E2R1.ITS_Stalk	FCI.E1R1.ITS_Stalk	EPE.E4R2.ITS_Root	FCI.E4R3.ITS_Stalk	ECM.E3R1.ITS_Stalk	FCS.E1R3.ITS_Stalk	FCS.E1R1.ITS_Stalk	FFO.E4R2.ITS_Leaf	FFO.E2R2.ITS_Leaf	ECM.E1R3.ITS_Stalk	EFO.E4R3.ITS_Leaf	EFO.E3R2.ITS_Leaf	ECI.E2R3.ITS_Stalk	ECS.E2R2.ITS_Stalk	ERA.E1R3.ITS_Root	ERA.E2R2.ITS_Root	ECI.E3R2.ITS_Stalk	ERA.E4R2.ITS_Root	FCS.E2R3.ITS_Stalk	ECM.E2R3.ITS_Stalk	FCS.E4R3.ITS_Stalk	FCI.E4R1.ITS_Stalk	ECS.E4R3.ITS_Stalk	EPE.E1R2.ITS_Root	FFO.E1R3.ITS_Leaf	EFO.E4R1.ITS_Leaf	FCM.E1R2.ITS_Stalk	ECI.E1R2.ITS_Stalk	ERA.E2R3.ITS_Root	FFO.E2R1.ITS_Leaf	EFO.E2R1.ITS_Leaf	ECS.E4R2.ITS_Stalk	EFO.E2R3.ITS_Leaf	ECS.E3R2.ITS_Stalk	RZO.E3R1.ITS_Root	ECM.E4R3.ITS_Stalk	FCM.E3R1.ITS_Stalk	FCI.E1R3.ITS_Stalk	ECI.E4R1.ITS_Stalk	RZO.E1R2.ITS_Root	FFO.E3R3.ITS_Leaf	RZO.E1R1.ITS_Root	EPE.E4R1.ITS_Root	ECS.E4R1.ITS_Stalk	ERA.E3R1.ITS_Root
OTU_499	34699	0	2464	0	0	0	0	0	0	2261	20	228	0	284	0	3	0	3724	0	0	0	0	0	0	0	679	0	0	0	0	2	0	61	0	0	0	0	1672	0	0	0	483	212	0	1203	0	1063	0	0	0	135	7	233	0	0	73	10	0	1	0	493	0	0	0	0	0	1554	0	506	1	0	34	0	0	1	0	900	0	0	0	0	0	0	520	0	2651	2402	120	0	488	0	0	77	1	0	0	0	0	0	0	0	0	0	0	49	0	0	0	6	0	0	26	533	284	0	54	0	136	0	90	0	299	1795	0	1	3	0	0	0	11	0
OTU_23	500492	15	3784	34	0	0	0	0	0	12806	22	10103	0	6309	0	6	0	9431	0	2	0	0	0	0	9	1363	0	0	6	3	37	0	359	0	1	3	3	29490	0	0	0	1201	77	0	17857	1	3398	1	0	0	120	133	20	1	2	178	83	0	1	0	1138	0	25	0	1	0	676	0	19915	0	0	186	0	0	26	0	3569	11	0	0	0	0	0	1278	0	6032	9607	715	0	565	0	0	973	0	0	0	0	0	0	0	0	0	1	0	382	0	1	1	3	7	0	251	897	53	0	893	34	6	0	46	0	674	3847	2	0	201	0	0	0	1	0
OTU_673	149	0	5	0	0	0	0	0	0	4	18	23	1	201	0	0	0	158	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	6	0	0	0	0	58	0	4	1	2	0	0	0	1	0	0	0	0	22	0	0	0	0	15	0	0	0	0	0	0	0	17	0	0	17	0	0	20	0	6	1	0	0	0	0	0	91	0	115	15	19	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	17	0	0	0	0	0	63	54	1	0	0	0	0	0	0	0
OTU_3065	1046	1	1	0	0	0	0	0	0	0	1	11	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_33	119504	3	1379	15	0	0	0	0	0	49051	3	146	0	1788	0	0	0	9106	0	0	0	0	0	0	5	1579	0	0	0	0	0	0	55	0	0	9	0	7077	0	0	0	269	1	0	4163	2	6279	0	0	0	72	18	1	0	3	5	6716	0	0	0	786	0	1	0	0	0	392	0	348	0	0	1652	0	0	6	0	3574	3	1	0	0	0	0	82	0	16987	3641	158	0	1106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	3	15	3	0	0	184	8	0	14	0	1	0	0	0	2273	4198	1	0	13	0	0	0	0	0
OTU_3318	14759	0	953	2	0	0	0	0	0	986	10	99	0	154	0	1	0	1608	0	0	0	0	0	0	1	380	0	0	0	0	2	0	12	0	0	0	0	630	0	0	0	266	112	0	496	0	420	0	0	0	56	9	109	0	0	50	4	0	0	0	204	0	0	0	0	0	662	0	225	0	0	15	0	0	1	0	374	0	0	0	0	0	0	232	0	1175	1079	53	0	226	0	0	32	0	0	0	0	0	0	0	0	0	0	0	22	0	0	1	0	0	0	13	233	159	0	23	0	70	0	37	0	162	696	0	0	1	0	0	0	5	0
OTU_24	422892	14	525	0	0	0	0	1	0	237	0	0	0	0	0	0	0	627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179	0	0	0	0	35	0	0	0	0	0	0	14692	0	704	0	0	0	39	0	0	0	0	7	0	0	0	0	318	0	0	0	0	0	1601	0	0	13	0	2	0	0	4	0	851	0	1	0	0	0	0	604	0	967	3	5	0	75	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	264	0	0	4	0	60	0	13	0	0	480	0	0	0	0	0	0	0	0
OTU_43	73876	0	19	1	0	0	0	0	0	2703	0	9	0	0	0	6	0	230	0	0	0	0	0	0	0	504	0	0	2	0	0	0	38750	0	0	0	0	27	0	0	0	0	9	0	2589	2	249	0	0	1	5	9	73	0	0	6947	5	0	0	0	88	0	0	0	1	0	3	0	14	637	0	79	0	0	0	0	33	0	0	0	0	0	0	47	0	91	8	1097	0	10	0	0	6342	0	0	0	0	0	1	0	0	0	0	0	98	0	0	0	0	0	1	84	2442	18	0	8	0	0	0	0	0	28	83	0	0	0	0	0	0	84	0
OTU_32	181313	4	2157	2	0	0	0	0	0	362	56	15615	0	2	0	14	0	2933	0	14	0	0	0	0	0	49	0	0	3	0	95	0	231	0	2	0	2	265	0	1	0	1127	492	0	6357	3	854	0	0	0	49	97	0	1	0	3	19	0	3	0	454	0	68	0	0	0	1270	0	35876	0	0	45	3	0	0	0	864	1	0	0	0	0	0	792	0	1520	504	101	0	976	0	1	15	12	1	0	0	0	0	0	0	0	0	0	35	0	0	0	0	2	2	5724	1135	11	0	9381	93	85	0	0	0	287	1299	0	0	13	1	0	0	0	0
OTU_2350	17780	1	3	2	0	0	0	0	0	454	0	1	0	0	0	1	0	27	0	0	0	0	0	0	0	126	0	0	0	1	0	0	6157	0	0	0	0	4	0	0	0	0	3	0	608	1	45	0	0	0	0	3	27	0	0	1243	2	0	0	0	25	0	0	0	0	0	0	0	7	109	0	19	0	0	0	0	11	0	0	0	0	0	0	13	0	15	2	289	0	3	0	0	996	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	18	645	1	0	1	0	0	0	0	0	3	16	0	0	0	0	0	0	22	0
