FCS.E4R1.16S_Stalk	ECI.E3R3.16S_Stalk	FFO.E2R2.16S_Leaf	ECM.E2R2.16S_Stalk	FCM.E4R2.16S_Stalk	EFO.E2R1.16S_Leaf	FCI.E3R2.16S_Stalk	ECI.E2R2.16S_Stalk	RZO.E4R3.16S_Root	FCM.E1R2.16S_Stalk	EPE.E3R2.16S_Root	ERA.E4R2.16S_Root	FCS.E2R3.16S_Stalk	FCI.E2R2.16S_Stalk	FCM.E1R3.16S_Stalk	FFO.E4R1.16S_Leaf	FCS.E3R3.16S_Stalk	EFO.E4R1.16S_Leaf	FFO.E3R1.16S_Leaf	FCS.E3R2.16S_Stalk	FCI.E1R3.16S_Stalk	FFO.E3R2.16S_Leaf	EFO.E4R3.16S_Leaf	EPE.E1R1.16S_Root	FCS.E1R3.16S_Stalk	EPE.E2R3.16S_Root	RZO.E3R1.16S_Root	EFO.E1R1.16S_Leaf	ECM.E4R1.16S_Stalk	FCM.E2R3.16S_Stalk	RZO.E4R1.16S_Root	EPE.E2R1.16S_Root	FCM.E3R2.16S_Stalk	FCI.E4R1.16S_Stalk	ECS.E1R1.16S_Stalk	ECM.E2R3.16S_Stalk	ECM.E4R3.16S_Stalk	ECM.E3R1.16S_Stalk	RZO.E4R2.16S_Root	FCM.E3R3.16S_Stalk	FFO.E4R3.16S_Leaf	RZO.E1R1.16S_Root	EPE.E4R2.16S_Root	EFO.E1R2.16S_Leaf	ECI.E3R1.16S_Stalk	FCS.E3R1.16S_Stalk	EFO.E2R2.16S_Leaf	EFO.E1R3.16S_Leaf	FCS.E1R1.16S_Stalk	FCI.E2R1.16S_Stalk	RZO.E2R1.16S_Root	FFO.E3R3.16S_Leaf	FCM.E1R1.16S_Stalk	EFO.E4R2.16S_Leaf	ECM.E2R1.16S_Stalk	FCS.E2R1.16S_Stalk	FCI.E3R3.16S_Stalk	RZO.BK2.16S_Root	RZO.E3R2.16S_Root	FCS.E2R2.16S_Stalk	RZO.BK3.16S_Root	RZO.E2R3.16S_Root	RZO.E3R3.16S_Root	ECS.E1R2.16S_Stalk	ERA.E2R2.16S_Root	EPE.E4R3.16S_Root	ECS.E2R3.16S_Stalk	ECM.E1R2.16S_Stalk	FCI.E1R2.16S_Stalk	ECS.E1R3.16S_Stalk	EFO.E3R1.16S_Leaf	ERA.E3R2.16S_Root	EPE.E1R2.16S_Root	RZO.E1R3.16S_Root	ECM.E4R2.16S_Stalk	EPE.E4R1.16S_Root	ECI.E1R2.16S_Stalk	RZO.BK4.16S_Root	FCM.E2R1.16S_Stalk	ERA.E4R1.16S_Root	FCI.E4R2.16S_Stalk	FFO.E4R2.16S_Leaf	ERA.E2R1.16S_Root	FCM.E4R3.16S_Stalk	FCS.E1R2.16S_Stalk	ECI.E4R2.16S_Stalk	ERA.E2R3.16S_Root	ECI.E1R1.16S_Stalk	EPE.E3R3.16S_Root	ECI.E2R3.16S_Stalk	EFO.E3R3.16S_Leaf	ECM.E1R3.16S_Stalk	RZO.E1R2.16S_Root	ECM.E1R1.16S_Stalk	FCI.E2R3.16S_Stalk	FCM.E4R1.16S_Stalk	FCI.E1R1.16S_Stalk	ERA.E1R1.16S_Root	FCI.E3R1.16S_Stalk	ERA.E3R1.16S_Root	EFO.E3R2.16S_Leaf	ERA.E3R3.16S_Root	ECI.E3R2.16S_Stalk	ECI.E4R3.16S_Stalk	FCM.E2R2.16S_Stalk	ECS.E2R1.16S_Stalk	ECS.E3R1.16S_Stalk	ECM.E3R3.16S_Stalk	ERA.E1R3.16S_Root	RZO.BK1.16S_Root	ECI.E1R3.16S_Stalk	ERA.E4R3.16S_Root	FCM.E3R1.16S_Stalk	FCS.E4R3.16S_Stalk	ECS.E2R2.16S_Stalk	EPE.E1R3.16S_Root	ERA.E1R2.16S_Root	EPE.E2R2.16S_Root	EFO.E2R3.16S_Leaf	FCI.E4R3.16S_Stalk	EPE.E3R1.16S_Root	RZO.E2R2.16S_Root	ECS.E4R2.16S_Stalk	ECI.E4R1.16S_Stalk	FCS.E4R2.16S_Stalk	FFO.E2R3.16S_Leaf	ECM.E3R2.16S_Stalk
OTU_605	1151	426	9	9	526	0	59	38	1346	9	239	725	3	27	17	101	157	3	35	86	4528	1	17	342	17	327	305	0	109	1	2637	273	289	161	10	26	72	24	764	181	254	351	2543	10	119	557	1	1	22	227	247	20	123	9	88	2	675	4393	608	70	1	414	590	58	284	823	56	134	1144	296	2	3043	1529	559	16	1205	140	772	69	2431	153	62	412	494	2	239	473	4	209	109	2	183	2396	1	266	713	487	476	548	387	1	1461	231	65	76	122	145	38	711	3017	4	938	155	27	32	715	811	1618	9	317	252	344	15	140	252	10	21
OTU_567	5148	9	41	74	189	0	280	12	0	2	0	0	17	457	902	4	1962	2	4513	472	8727	92	31	0	12	0	0	3	84	4	30	2	1938	3887	0	142	218	94	0	2473	2026	0	2	0	356	923	0	0	28	157	1	344	2	0	139	12	234	19	0	3706	0	9	7	130	0	2	20	285	13	13	3	0	1	8	277	12	19	3	48	1	962	670	0	491	21	429	1	85	0	614	0	55	18	390	287	229	199	5	532	1	8	6	29	101	8901	30	177	48	14	3	26	4	1088	13298	64	1	2	1	3	2654	6	19	131	198	1656	69	11
OTU_632	11630	2043	0	10	24	0	70	2	2	0	428	1	2	0	0	80	6539	7	2	3557	0	5117	0	0	131	1	0	0	1997	0	1	0	175	114	7	22	663	9	2	103	258	0	0	0	7	8	0	1	3	2	0	0	0	0	28	8	33	0	31	9	0	0	0	3	0	0	2	33	3	6	0	208	0	0	388	8	0	0	0	0	69	9	0	935	10	266	0	12	0	4	0	16	0	33	0	10	2	0	793	0	1	0	1572	12	10	17	9	4178	0	0	6	0	22	5109	9	0	0	0	2821	34	0	0	492	4239	7113	68	33
OTU_100	3063	61	37	1195	59	0	326	309	0	12907	0	0	58	1814	7996	124	3704	2	7	1531	18678	2	1	0	23351	1	0	1	417	8	0	0	4649	643	10	59	61	165	0	5919	36	0	2	3	118	1104	1	3	6981	7619	0	4	2355	0	1482	17892	82	0	1	14768	0	9	0	1798	0	0	2	2601	198	243	3	0	0	30	889	0	779	0	2811	0	1563	44	0	302	44281	133	1	121	0	500	0	220	1	157	1385	23	2723	0	324	0	6	0	23	70	1334	1791	478	11	1	0	863	0	3169	6434	2994	0	0	42	0	549	0	0	783	51	239	12	28
OTU_90	1216	202	3	84	48	2	29	128	1	402	102	55	36	46	27	34	76434	22	22	12555	12293	28	1	173	581	23	33	862	885	1	121	5	1069	307	2	20	98	3052	4	1392	39	21	23	188	21	3353	2	3	249	38	3	14	887	6	228	47	135	0	1	22512	0	14	33	78	35	6	1	154	1014	125	5	9	91	395	356	74	1499	4	11	15	394	15	14	116	970	41	2	111	35	136	3	100	750	16	3	79	351	118	260	55	4	22	77	30	96	95	13697	88	542	16	38	11	411	581	183	10	87	2704	3	2422	697	106	1017	535	890	14	3
OTU_4742	892	50	2302	10	43	68	178	15	2	110	0	21	2	18	20	1966	7620	10	2319	2917	1835	139	152	4	88	1	8	15	36	1	7	1	458	109	0	2	13	101	4	296	6717	8	25	18	6	620	69	10	309	21	5	251	1420	18	15	8	45	475	7	640	0	7	1	21	5	3	0	45	834	1	4	13	22	10	53	0	32	16	12	28	106	1604	17	25	72	50	24	52	0	36	3	9	47	0	11	16	4844	18	34	21	14	6	10	23	202	0	386	22	46	38	0	7	154	229	77	7	62	15	8	37	10	9	124	24	164	76	82
OTU_8959	6570	142	12	54	4	1	24	1	0	16	0	0	1	1612	110	206	1	1	0	98	31	0	0	0	14	0	0	0	12	6	0	0	169	503	7	6	29	33	0	178	29	0	0	0	103	232	0	1	3	65	0	3	5147	2	19	21	8	0	0	38	0	2	0	1	0	0	0	1	65	73	0	0	0	27	30	0	30	0	15	0	2284	4	0	680	7	12	0	0	0	89	0	2	1	17	17	91	124	0	17	0	2	0	51	2360	441	775	120	0	2	0	140	0	3698	18	69	0	0	0	0	163	11	3	1	92	547	0	0
OTU_3586	374	0	0	0	0	10	0	0	9	0	0	0	0	0	0	26	0	1	0	0	0	0	1	4	0	0	0	169	37	0	1	0	0	0	0	0	149	0	0	0	0	0	0	16	0	0	0	0	0	0	3	0	0	0	0	1	4	0	0	0	0	0	0	531	0	0	0	942	6	0	0	3	993	1	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	15	1	0	0	1	9	0	0	0	0	0	0	86	1	1	0	0	0	0	2	3	0	0	0	0	0	0	0	0	21	0	0	23	69	0	0
OTU_531	6769	168	20	94	594	1	2422	22	0	100	0	0	119	1670	33208	221	1957	1	1	223	6363	0	1	0	1364	0	0	1	516	6	0	0	13759	1332	3	9	54	32	0	13834	48	0	0	2	237	349	0	0	8	5204	0	2	4841	4	81	1036	610	0	0	203	0	12	0	2	3	1	1	6	67	112	0	0	0	27	44	1	53	1	1784	0	2895	8	0	756	95	20	0	14	0	116	0	78	0	26	74	115	146	0	1925	0	0	0	66	5961	977	909	190	6	3	0	183	0	4673	107	99	0	0	2	0	351	6	1	2	125	635	0	3
OTU_49	1422	1575	42	3995	20	1	66	58	0	5950	1	0	3	198	680	48	497	0	10	741	125	0	30	2	8680	0	0	94	16	4	0	0	134	119	197	56	100	311	0	136	46	1	0	3	828	1690	1	5	5700	338	0	20	50401	2	286	637	10	4	0	2140	0	1	0	472	0	0	28	790	1568	133	0	1	0	8	585	0	108	0	109	0	205	847	0	47	4779	155	0	562	0	1686	0	42	6	589	38	14	227	1	10	0	4	0	342	1500	92	1151	1473	9	0	0	587	0	330	1255	10569	2	1	3	7	56	1	0	162	385	82	4	46
