FCS.E4R1.16S_Stalk	ECI.E3R3.16S_Stalk	FFO.E2R2.16S_Leaf	ECM.E2R2.16S_Stalk	FCM.E4R2.16S_Stalk	EFO.E2R1.16S_Leaf	FCI.E3R2.16S_Stalk	ECI.E2R2.16S_Stalk	RZO.E4R3.16S_Root	FCM.E1R2.16S_Stalk	EPE.E3R2.16S_Root	ERA.E4R2.16S_Root	FCS.E2R3.16S_Stalk	FCI.E2R2.16S_Stalk	FCM.E1R3.16S_Stalk	FFO.E4R1.16S_Leaf	FCS.E3R3.16S_Stalk	EFO.E4R1.16S_Leaf	FFO.E3R1.16S_Leaf	FCS.E3R2.16S_Stalk	FCI.E1R3.16S_Stalk	FFO.E3R2.16S_Leaf	EFO.E4R3.16S_Leaf	EPE.E1R1.16S_Root	FCS.E1R3.16S_Stalk	EPE.E2R3.16S_Root	RZO.E3R1.16S_Root	EFO.E1R1.16S_Leaf	ECM.E4R1.16S_Stalk	FCM.E2R3.16S_Stalk	RZO.E4R1.16S_Root	EPE.E2R1.16S_Root	FCM.E3R2.16S_Stalk	FCI.E4R1.16S_Stalk	ECS.E1R1.16S_Stalk	ECM.E2R3.16S_Stalk	ECM.E4R3.16S_Stalk	ECM.E3R1.16S_Stalk	RZO.E4R2.16S_Root	FCM.E3R3.16S_Stalk	FFO.E4R3.16S_Leaf	RZO.E1R1.16S_Root	EPE.E4R2.16S_Root	EFO.E1R2.16S_Leaf	ECI.E3R1.16S_Stalk	FCS.E3R1.16S_Stalk	EFO.E2R2.16S_Leaf	EFO.E1R3.16S_Leaf	FCS.E1R1.16S_Stalk	FCI.E2R1.16S_Stalk	RZO.E2R1.16S_Root	FFO.E3R3.16S_Leaf	FCM.E1R1.16S_Stalk	EFO.E4R2.16S_Leaf	ECM.E2R1.16S_Stalk	FCS.E2R1.16S_Stalk	FCI.E3R3.16S_Stalk	RZO.BK2.16S_Root	RZO.E3R2.16S_Root	FCS.E2R2.16S_Stalk	RZO.BK3.16S_Root	RZO.E2R3.16S_Root	RZO.E3R3.16S_Root	ECS.E1R2.16S_Stalk	ERA.E2R2.16S_Root	EPE.E4R3.16S_Root	ECS.E2R3.16S_Stalk	ECM.E1R2.16S_Stalk	FCI.E1R2.16S_Stalk	ECS.E1R3.16S_Stalk	EFO.E3R1.16S_Leaf	ERA.E3R2.16S_Root	EPE.E1R2.16S_Root	RZO.E1R3.16S_Root	ECM.E4R2.16S_Stalk	EPE.E4R1.16S_Root	ECI.E1R2.16S_Stalk	RZO.BK4.16S_Root	FCM.E2R1.16S_Stalk	ERA.E4R1.16S_Root	FCI.E4R2.16S_Stalk	FFO.E4R2.16S_Leaf	ERA.E2R1.16S_Root	FCM.E4R3.16S_Stalk	FCS.E1R2.16S_Stalk	ECI.E4R2.16S_Stalk	ERA.E2R3.16S_Root	ECI.E1R1.16S_Stalk	EPE.E3R3.16S_Root	ECI.E2R3.16S_Stalk	EFO.E3R3.16S_Leaf	ECM.E1R3.16S_Stalk	RZO.E1R2.16S_Root	ECM.E1R1.16S_Stalk	FCI.E2R3.16S_Stalk	FCM.E4R1.16S_Stalk	FCI.E1R1.16S_Stalk	ERA.E1R1.16S_Root	FCI.E3R1.16S_Stalk	ERA.E3R1.16S_Root	EFO.E3R2.16S_Leaf	ERA.E3R3.16S_Root	ECI.E3R2.16S_Stalk	ECI.E4R3.16S_Stalk	FCM.E2R2.16S_Stalk	ECS.E2R1.16S_Stalk	ECS.E3R1.16S_Stalk	ECM.E3R3.16S_Stalk	ERA.E1R3.16S_Root	RZO.BK1.16S_Root	ECI.E1R3.16S_Stalk	ERA.E4R3.16S_Root	FCM.E3R1.16S_Stalk	FCS.E4R3.16S_Stalk	ECS.E2R2.16S_Stalk	EPE.E1R3.16S_Root	ERA.E1R2.16S_Root	EPE.E2R2.16S_Root	EFO.E2R3.16S_Leaf	FCI.E4R3.16S_Stalk	EPE.E3R1.16S_Root	RZO.E2R2.16S_Root	ECS.E4R2.16S_Stalk	ECI.E4R1.16S_Stalk	FCS.E4R2.16S_Stalk	FFO.E2R3.16S_Leaf	ECM.E3R2.16S_Stalk
OTU_5529	0	0	1	0	3	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	7	1	0	0	0	0	0	0	7	11	0	0	0	0	0	0	17	1	0	0	0	0	0	1	0	0	0	113	0	0	1	21	6	0	0	0	14	5	0	0	0	4	0	0	0	0	0	0	0	0	0	23	0	10	0	24	4	0	0	0	2	0	0	0	0	0	0	3	0	0	1	0	0	0	9	10	3	0	0	1	2	0	0	0	0	0
OTU_10155	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_3751	0	0	1	0	8	0	1	0	152	0	6	30	1	5	0	0	0	0	1	0	105	0	0	4	0	3	94	0	0	0	50	38	0	0	0	0	0	0	104	0	12	400	430	0	0	0	0	0	0	42	198	2	0	0	0	0	15	124	106	0	0	24	40	0	152	41	0	0	234	0	0	577	176	52	0	4	5	49	7	292	1	0	84	1	0	3	256	6	92	0	0	0	95	0	645	3	168	36	0	25	0	53	0	0	0	0	0	0	31	66	0	38	0	0	0	141	179	4	0	0	29	56	0	0	1	2	0
OTU_1804	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	51	0	0	0	0	1	0	0	0	0	0	15	0	0	1	0	3	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	6	0	3	0	0	0	0	0	0	0	0	0	0	0	0	267	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
OTU_8470	0	0	1	0	0	0	0	0	3	0	384	345	0	5	0	0	0	1	0	0	3	0	0	100	0	6	1	0	0	0	54	6	0	0	0	0	0	0	1	0	1	4	111	0	0	0	0	0	0	4	0	2	1	1	0	0	0	445	5	0	0	16	53	0	3	20	0	0	473	1	0	70	93	48	0	241	0	84	1	12	0	0	7	0	0	40	13	0	13	0	0	0	99	1	3	2	5	95	0	294	0	347	0	7	0	0	0	0	180	186	0	288	0	0	0	43	9	4	0	0	610	8	0	0	2	0	0
OTU_6600	0	0	1	0	8	0	0	0	2	0	3	0	0	5	0	0	0	0	0	0	19	0	0	9	0	4	0	0	0	0	1	2	0	0	0	0	0	0	3	0	20	4	22	0	0	0	0	0	0	31	13	0	0	1	13	0	9	1134	5	0	0	4	0	0	3	6	0	0	359	0	0	16	31	5	0	5	0	183	11	2	0	0	3	0	1	1	8	0	7	0	0	6	22	0	81	2	27	1	1	4	0	0	0	0	0	0	0	0	2	202	0	2	0	0	0	5	1	7	0	0	5	1	0	0	0	0	0
OTU_11719	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU_3401	0	0	1	0	11	0	0	0	0	0	0	48	0	12	0	0	0	0	0	0	11	0	0	11	0	1	3	0	0	0	7	1	0	1	0	0	0	0	0	0	7	2	16	0	0	0	0	0	0	4	4	0	0	0	0	0	5	644	8	0	0	8	8	0	1	0	0	0	205	0	0	26	0	21	0	0	0	91	2	2	0	2	7	0	0	0	8	0	1	0	0	0	25	0	54	2	18	3	0	27	0	150	0	0	0	0	0	0	16	260	0	21	0	0	0	9	1	0	0	0	34	10	0	0	0	0	0
OTU_7516	0	0	1	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	80	0	0	0	11	8	0	0	0	0	0	14	0	0	1	0	6	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	1	54	0	0	0	0	0	1	0	1	0	0	0	4	0	0	0	0	0
OTU_6551	0	0	1	0	0	0	0	0	0	0	2	21	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	12	0	0	0	0	0	0	1	0	0	5	1	0	0	0	1	0	0	0	1	1	1	0	0	0	0	2	455	2	0	0	5	3	0	0	2	0	0	81	1	0	2	0	17	0	8	0	220	1	0	0	0	2	0	0	2	1	0	0	0	0	0	23	0	1	0	3	5	0	6	0	16	0	0	0	0	0	0	23	539	0	26	0	0	0	0	0	0	0	0	2	5	0	0	0	0	0
OTU_7438	0	0	1	0	2	0	0	0	7	0	0	3	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	3	7	0	0	0	0	0	0	4	8	0	0	0	0	0	0	321	8	0	0	1	1	0	5	6	0	0	37	0	0	27	2	1	0	1	0	46	0	7	0	0	10	0	0	0	11	0	1	0	0	0	6	0	23	0	3	3	0	1	0	14	0	0	0	0	0	0	4	183	0	21	0	0	0	1	2	1	0	0	0	2	0	0	0	0	0
OTU_9064	0	0	1	0	0	0	0	0	0	0	0	1	0	6	0	1	0	0	0	0	8	1	0	42	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	25	4	8	0	2	0	0	0	0	34	2	0	0	0	1	0	0	148	2	0	0	1	0	0	1	2	0	0	146	22	0	6	35	14	0	1	2	67	9	0	0	0	1	0	0	1	5	0	2	7	0	12	21	0	22	2	42	1	0	1	0	2	0	0	0	6	0	0	6	58	0	0	0	0	0	6	4	30	0	0	2	1	0	0	0	3	0
OTU_7529	0	0	0	4	2	0	0	0	3	0	0	18	0	0	0	0	0	0	0	0	0	0	0	10	0	0	3	0	0	0	2	1	0	0	0	0	0	0	0	0	0	50	31	0	0	0	0	0	0	1	1	0	0	0	0	0	0	77	1	0	0	1	1	0	0	0	0	0	246	0	0	29	739	8	0	0	0	13	0	3	0	0	1	0	0	0	4	0	0	0	0	0	132	0	2	0	3	172	0	27	0	3	0	0	0	0	0	0	14	5	0	25	0	0	0	15	132	0	0	0	70	1	0	0	0	0	0
OTU_566	0	0	0	2	4	0	1	9	4	0	0	0	0	2	3	0	0	0	0	0	5944	0	0	1	3	3	4	0	0	0	0	7	0	0	0	0	17	0	1	0	0	2	12	0	0	1	0	0	0	0	2	0	0	0	0	0	11	0	0	285	0	11	4	0	10	1	0	2	1	0	0	11	24	1	0	0	1	0	0	5	0	0	9	0	0	1	57	0	7	7	0	1	0	0	3	6	18	1	1	10	0	31	0	6	19	0	1	0	21	0	0	3	0	27	12	2	8	15	0	12	12	13	0	0	0	0	0
OTU_8402	0	0	0	24	0	0	0	0	0	0	0	0	0	3	27	0	0	0	0	0	1	0	0	1	19	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	1	0	0	0	0	0	0	0	5	213	0	0	0	0	0	0	1	0	0	35	0	0	0	0	0	0	0	0	1	356	0	0	0	1	0	1	1	0	87	0	1	0	0	0	2	0	0	0	0	0	0	132	0	1	13	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	74	0	0	6	0	0	1	1	0	0	0	0	0
OTU_3562	0	0	0	5	0	0	0	0	2	1	0	173	0	1	0	0	0	1	0	0	0	0	0	27	0	0	4	65	0	0	2	0	0	0	0	0	0	0	3	0	0	1	619	0	1	0	0	0	17	0	5	0	0	0	6	0	0	0	0	0	0	0	0	374	8	2	0	513	1720	17	0	0	211	1	0	0	148	0	0	47	0	0	47	0	2	0	0	0	9	0	0	0	5	27	3	0	103	11	1	11	0	0	0	0	0	17	0	0	8	0	7	47	0	0	0	11	42	68	0	0	258	3	0	0	1	0	3
OTU_198	0	0	0	1	27	0	1	0	394	16	59	66	1	29	0	0	0	0	2	0	299	1	0	69	0	91	1051	0	0	0	375	189	0	0	0	0	0	0	1914	0	19	938	665	0	1	0	0	0	0	220	4720	4	0	3	1	3	48	17475	838	0	1	987	1335	0	127	128	0	0	1084	6	0	887	504	440	0	3	7	16372	78	143	0	3	142	1	8	3	531	2	221	4	0	4	614	0	1300	10	418	33	0	41	0	87	0	2	0	0	0	0	67	17507	0	56	0	0	0	675	159	75	3	2	202	660	0	0	0	0	3
OTU_2813	0	0	0	9	9	0	3	0	103	0	0	65	0	1	0	0	0	0	0	0	59	0	0	56	2	29	428	0	0	0	79	76	0	0	0	0	0	0	162	0	0	114	78	0	0	0	0	0	0	13	257	0	0	0	0	0	5	271	158	0	0	175	214	0	44	2	0	0	82	0	0	467	42	40	0	1	3	360	4	93	0	0	81	0	0	2	163	0	24	2	0	0	102	0	495	4	109	14	2	51	0	176	0	0	0	0	6	0	50	1887	0	41	0	0	0	73	60	50	0	0	41	162	0	0	0	0	0
OTU_10474	0	0	0	108	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	16	0	0	1	7	0	0	0	0	1	0	0	0	0	1	0	1	0	0	2	1	0	0	0	0	1	0	0	1	65	0	0	1	0	11	0	0	0	0	1732	0	0	0	0	0	0	0	0	0	361	0	0	0	4	0	1	1	0	14	0	1	0	0	0	0	0	0	0	0	0	0	54	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	359	0	0	0	0	0	1	0	0	0	0	3	0
OTU_6052	0	0	0	1	0	0	0	0	0	0	0	70	0	4	0	0	0	0	1	0	4	0	0	1078	0	22	0	0	0	0	0	757	0	0	0	0	0	0	0	0	0	14	19	0	0	0	0	1	0	10	0	0	0	0	0	0	0	0	1	0	0	2	1	0	29	0	0	0	491	0	0	81	1104	2	0	1	0	0	0	5	0	0	9	0	0	2	97	0	1	0	0	0	42	0	6	0	23	45	0	14	0	510	0	0	0	0	0	0	9	2	0	79	0	0	0	2	52	21	0	0	161	1	0	0	0	0	0
OTU_7548	0	0	0	7	2	0	0	0	9	0	0	29	0	7	0	0	0	0	0	0	20	0	0	0	0	4	24	0	0	0	15	141	0	0	0	0	0	0	9	0	0	0	149	0	0	0	0	0	0	0	2	0	0	0	0	0	7	0	56	0	0	12	2	0	20	4	0	0	0	0	0	133	0	0	0	0	0	0	0	38	0	0	4	0	0	0	227	0	12	0	0	0	0	0	37	0	0	0	0	90	0	16	0	0	0	0	0	0	0	0	0	37	0	0	0	0	1	0	0	0	33	4	0	0	0	0	0
OTU_3597	0	0	0	4	1	0	0	0	8	0	0	24	0	2	0	0	0	0	0	0	7	0	0	20	0	2	27	0	0	0	27	5	0	0	0	0	0	0	12	0	0	10	5	0	0	0	0	0	0	1	26	0	0	0	0	0	0	125	22	0	0	95	82	0	3	0	0	0	33	0	0	40	1	15	0	0	0	191	1	5	0	0	8	0	0	2	11	0	3	2	0	0	60	0	54	1	8	7	0	24	0	75	0	0	0	0	2	0	15	791	0	17	0	0	0	3	4	3	0	0	19	85	0	0	0	0	0
OTU_9335	0	0	0	4	0	2	0	0	2	4	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	30	0	0	0	13	2	1	0	0	0	0	0	0	11	2	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	10	0	0	2	2	24	5	0	0	0	6	0	5	0	0	0	0	0	1	0	4	0	0	7	2	13	1	0	2	0	0	1	0	2	0	0	0	0	0	0	6	0	2	0	0	0	0	1	2	3	0	1	0	2	0	0	0	0	0
OTU_2886	0	0	0	5	96	0	6	3	0	2	0	0	6	0	2	0	0	0	0	0	30	0	0	0	0	0	0	2	0	0	0	0	647	7	0	0	0	2	0	562	1	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	173	0	0	624	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4	0	2	0	224	1	0	3	0	0	0	0	0	0	0	9	0	0	0	76	101	0	3	0	0	0	0	3	9	0	2	0	0	0	0	0	214	1	5	0	0	0	0	239	0	0	0	0	0	0	2
OTU_6096	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218	30	0	0	50	0	0	0	0	0	0	0	0	12	0	230	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_11375	0	0	0	2	0	0	0	0	10	2	0	49	0	1	0	0	0	0	0	0	21	0	0	36	0	18	11	0	0	0	5	232	0	0	0	0	0	0	5	0	0	18	46	0	0	0	0	0	0	9	16	0	0	3	0	0	5	479	29	0	0	3	2	0	45	1	0	0	132	3	0	413	95	17	0	1	3	140	3	60	0	0	108	0	0	0	130	2	5	0	0	0	47	0	84	1	40	25	0	56	0	103	0	2	0	0	0	0	51	602	0	27	0	0	1	30	67	1	0	0	72	4	0	0	0	0	0
OTU_2462	0	0	0	6	3	0	2	0	14	0	2	18	0	1	0	3	0	0	0	0	2	0	0	9	4	0	7	11	0	0	33	5	0	0	0	1	0	0	11	0	6	10	43	0	1	1	0	0	0	3	20	0	0	0	5	0	5	3233	20	0	1	17	26	22	4	128	0	52	23	0	0	50	9	72	0	12	113	1671	0	35	0	3	28	0	0	3	9	3	11	7	0	0	84	3	35	6	16	45	0	10	0	25	0	2	0	12	3	0	320	5680	3	7	0	0	0	4	61	152	0	0	10	27	0	0	0	2	11
OTU_9906	0	0	0	1	20	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	4	0	0	0	0	2	215	0	0	0	0	3	1	178	11	5	2	0	0	1	0	0	0	0	0	0	18	0	0	0	26	0	1	0	0	0	1	0	0	0	0	0	216	0	0	4	4	1	0	0	0	0	1	0	61	0	0	40	2	0	1	0	0	1	0	0	4	13	40	17	0	1	105	2	0	0	0	8	1	0	0	0	1	0	0	0	63	0	0	1	1	2	0	0	2	2	0	131	26	0	0
OTU_3100	0	0	0	6	0	0	5	3	0	1	0	6	1	0	0	15	15	0	0	9	0	0	0	120	0	1	0	0	0	0	2	2	601	8	0	0	16	0	1	626	0	0	0	1	0	0	0	0	0	9	2	2	0	0	15	0	6	0	1	0	0	8	1	0	3	17	0	1	29	45	0	0	17	0	0	0	7	13	4	0	309	0	0	3	0	0	10	0	0	0	0	0	9	0	9	2	27	7	0	1	4	9	0	2	0	0	5	0	1	0	1	2	267	0	0	31	5	9	0	0	20	4	0	5	0	0	0
OTU_2386	0	0	0	9	2	0	0	2	24	7	5	664	0	17	0	0	0	0	0	0	72	0	0	626	0	78	46	0	11	0	73	1050	0	0	0	0	0	0	20	0	0	101	214	0	0	0	0	0	0	46	39	3	0	13	0	0	7	6806	161	0	0	60	81	0	180	11	0	0	1860	13	0	2001	238	251	0	3	3	3170	15	307	0	0	313	4	2	9	517	1	50	0	0	0	612	0	384	8	169	375	0	677	0	1407	0	6	0	0	0	0	538	8657	0	396	0	0	9	183	342	17	0	0	960	53	0	0	0	0	0
OTU_4623	0	0	0	9	5	0	37	1	1	1	0	0	27	0	5	0	23	0	0	0	2	0	0	0	0	0	1	0	0	2	20	0	3295	12	0	0	1	0	0	3240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	20	0	0	0	0	0	0	0	2	0	0	19	1	0	0	0	0	1	3	1	0	0	4	2	326	0	0	0	7	3	0	15	0	0	0	11	0	0	0	0	1	0	14	0	0	0	1	549	4	0	5	0	0	21	0	3	383	80	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_10864	0	0	0	1	0	0	0	0	0	0	1	0	0	54	0	0	1	0	0	3	12	0	0	0	0	0	0	0	1	0	0	0	7	48	0	0	0	1	0	7	10	0	32	0	14	2	1	0	0	12	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6	0	8	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	5	63	0	2	0	0	0	0	0	15	0	0	0	0	0	0	17	90	0	0	0	0	8	0
OTU_5591	0	0	0	6	0	0	0	0	2	0	0	8	0	6	0	0	0	0	0	0	14	0	0	11	0	0	2	0	0	0	4	8	0	0	0	0	0	0	2	0	8	2	5	0	0	0	0	0	0	5	3	0	0	0	0	0	1	195	14	0	0	3	3	0	4	0	0	0	93	0	0	20	1	18	0	1	2	451	0	5	0	2	4	0	0	0	18	0	7	0	0	0	18	0	34	2	11	2	0	6	0	22	0	0	0	0	0	0	3	137	0	8	0	0	0	4	1	0	0	0	6	7	0	0	0	0	0
OTU_2362	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	2	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2480	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2746	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	1830	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_7506	0	0	0	2	4	0	5	4	17	19	0	40	0	1	1	0	3	0	3	0	35	1	0	14	8	9	90	0	10	0	18	501	2	0	2	2	0	2	97	11	13	392	55	0	2	2	1	0	16	17	107	0	64	0	17	0	4	8	90	1	0	26	7	26	44	0	2	39	179	7	0	416	192	78	0	0	4	4	7	230	0	0	91	0	11	3	55	28	2	4	0	24	111	13	104	2	70	58	2	8	0	24	0	1	0	1	14	25	143	2	0	24	0	1	2	24	795	27	0	0	6	12	2	2	1	0	6
OTU_32	0	0	0	5	19	0	1	0	1518	3	258	782	0	31	0	0	0	0	0	0	245	0	0	271	0	76	384	0	0	0	761	236	0	1	0	9	27	0	529	0	1	336	2128	0	0	0	0	0	0	149	236	2	0	0	0	0	37	12798	1200	0	2	146	256	0	339	252	0	0	1297	0	0	8780	807	260	0	449	10	4801	61	2206	0	0	713	4	0	29	992	0	324	0	0	26	436	6	893	7	322	397	6	514	0	1636	0	15	0	6	0	0	836	151121	0	1624	0	0	0	404	926	125	5	1	359	74	10	0	0	0	0
OTU_2659	0	0	0	1	1	0	0	2	87	0	62	310	0	6	0	0	0	1	0	0	19	1	0	84	0	17	47	0	1	0	205	88	0	0	0	4	1	0	27	0	28	66	304	0	0	0	0	1	1	8	35	2	0	1	0	0	5	194	41	0	0	87	187	2	58	31	0	0	248	11	0	898	249	146	4	23	2	161	6	241	0	1	165	4	0	10	242	3	21	1	0	0	266	10	64	2	33	221	1	241	0	778	0	5	0	0	11	0	414	441	0	273	0	0	1	24	186	40	2	0	52	74	0	1	4	0	0
OTU_5213	0	0	0	4	128	0	0	0	259	0	0	16	0	16	0	0	3	0	0	1	3	0	0	1	0	0	13	0	0	1	666	0	0	39	0	0	0	0	1	0	0	14	10	0	38	0	0	0	0	1	3	0	1	0	1	0	132	0	30	21	0	278	19	1	124	0	9	0	3	1	0	159	0	119	0	8	7	23	0	120	3	0	5	120	0	0	65	0	0	170	0	0	571	0	0	402	21	79	62	41	0	44	0	8	918	0	0	0	83	241	0	333	1	0	10	0	48	0	2	2	1	503	0	1	1	0	0
OTU_1882	0	0	0	2	6	0	5	0	673	1	52	299	0	4	0	0	1	0	5	0	127	0	0	90	0	101	291	0	6	0	195	637	3	0	0	1	3	0	207	1	19	400	1876	0	1	0	2	0	0	80	282	1	0	0	3	0	25	152	250	3	1	93	156	6	466	165	0	6	251	4	0	6247	1778	110	0	21	29	125	28	1579	0	1	1042	0	6	17	1597	10	139	0	0	8	253	14	367	5	154	194	2	244	0	763	0	4	0	0	6	0	428	341	0	245	0	1	0	203	1276	343	0	0	60	54	0	0	3	0	3
OTU_2769	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	19	0	0	0	0	0	5	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2945	0	0	0	1	0	0	0	1	118	0	1	59	0	0	0	0	0	0	0	0	35	0	0	174	0	1	59	0	0	0	355	10	0	0	0	0	9	0	177	6	0	344	118	0	0	0	0	0	0	9	141	0	1	0	0	0	1	1	12	2	0	102	133	0	24	50	0	1	287	0	0	68	393	707	0	33	0	0	6	55	0	0	57	1	1	3	13	0	10	0	0	0	1674	0	36	2	31	131	1	25	0	113	0	2	0	0	0	0	161	0	0	43	0	0	1	105	101	167	0	0	86	219	0	0	6	0	0
OTU_3309	0	0	0	2	0	0	1	0	4	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	172	7	0	0	0	0	3	0	0	3	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	3	0	11	0	0	0	75	0	0	6	0	0	0	0	0	0	2	2	148	0	0	0	0	0	1	0	0	0	0	0	11	0	0	0	8	10	1	0	0	5	0	0	0	0	1	0	0	0	0	3	17	0	0	0	3	4	0	0	0	13	0	0	0	0	0
OTU_10178	0	0	0	3	0	0	1	0	4	1	1	6	0	7	0	0	0	0	0	0	78	0	0	4	0	0	20	0	0	0	2	2	0	0	0	0	0	0	14	0	0	14	13	0	0	0	0	0	0	17	21	0	0	0	0	0	1	499	47	0	0	23	10	0	1	0	0	0	103	0	0	24	13	8	0	1	4	382	5	3	0	0	7	0	0	0	16	16	3	0	0	0	20	0	95	1	41	0	0	2	0	9	0	0	0	0	0	0	2	310	0	3	0	0	0	3	7	1	0	0	3	6	0	0	0	0	0
OTU_7742	0	0	0	2	4	0	2	0	5	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	245	56	0	0	0	0	0	132	0	2	16	0	0	0	0	0	0	1	0	0	0	0	1	0	3	0	0	0	0	0	0	0	2	7	0	0	3	0	0	1	0	0	0	29	0	0	0	8	61	0	0	71	0	4	1	0	0	1	0	0	2	11	1	2	4	3	122	1	0	0	0	0	0	0	1	0	0	0	0	11	95	1	0	0	17	0	0	1	0	0	0	0	0	0	0
OTU_7187	0	0	0	2	0	0	0	0	0	0	52	6	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	11	0	0	0	0	0	0	2	0	2	0	0	0	0	0	5699	0	0	0	1	3	0	0	10	0	0	124	0	0	5	15	8	0	110	0	765	1	0	0	0	0	0	0	6	0	0	0	0	0	0	21	0	3	0	2	6	0	5	0	10	0	0	0	0	0	0	5	1228	0	17	0	0	0	6	0	0	0	0	21	0	0	0	0	0	0
