HFD-5-Fungi-3-1	SD-8-Fungi-2-2	HFD-7-Fungi-2-2	chow-SD-Fungi-3-1	HFD-7-Fungi-1-2	HFD-5-Fungi-2-2	HFD-5-Fungi-3-2	SD-9-Fungi-3-2	SD-9-Fungi-3-1	SD-3-Fungi-3-2	HFD-1-Fungi-1-2	SD-8-Fungi-2-1	SD-8-Fungi-1-1	SD-7-Fungi-1-1	HFD-9-Fungi-2-2	HFD-9-Fungi-3-1	SD-2-Fungi-3-1	HFD-4-Fungi-3-1	SD-9-Fungi-1-2	HFD-8-Fungi-2-2	SD-3-Fungi-3-1	HFD-7-Fungi-1-1	SD-3-Fungi-2-2	SD-2-Fungi-2-1	HFD-6-Fungi-3-1	HFD-9-Fungi-2-1	HFD-5-Fungi-2-1	SD-9-Fungi-2-1	SD-1-Fungi-1-1	HFD-9-Fungi-1-2	HFD-3-Fungi-2-1	HFD-7-Fungi-3-1	SD-2-Fungi-1-2	HFD-6-Fungi-1-2	chow-SD-Fungi-2-1	SD-7-Fungi-3-1	SD-2-Fungi-1-1	HFD-6-Fungi-3-2	SD-8-Fungi-1-2
OTU_41	89	0	0	40	0	265	16	9	17	144	2	1	0	27	0	7	36	10	28	0	155	1	0	11	0	22	219	16	18	2	18	0	11	0	8	24	41	0	0
OTU_173	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	0	0	0	0	0	9	0	0	179	0	0	0	0	0	0	0	0	0	0	0	0
OTU_57	53	0	0	6	0	184	14	0	0	0	0	0	0	0	0	0	11	11	0	0	0	0	0	19	0	0	187	1	0	0	169	0	0	0	0	0	0	0	0
OTU_441	4	0	0	0	0	39	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
OTU_65	14	0	0	0	0	74	8	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0
OTU_99	10	1	0	3	2	5	1	0	4	0	0	7	0	23	0	0	0	1	70	0	0	5	0	5	0	0	32	16	0	2	1	0	0	0	3	0	0	0	0
OTU_429	10	7	0	2	2	9	16	3	0	0	0	2	1	8	0	0	0	1	70	0	0	4	0	5	0	0	32	0	0	3	1	0	0	1	2	0	0	0	0
OTU_44	6	1	38	13	31	73	4	0	1	0	12	0	0	0	0	0	0	0	0	89	0	31	0	5	10	0	54	47	8	0	16	3	0	0	2	0	0	14	0
OTU_22	6	1	38	13	31	73	4	0	1	0	12	0	0	0	0	0	0	0	0	89	0	31	0	5	10	0	54	47	8	0	16	3	0	0	2	0	0	14	0
OTU_336	21	0	0	386	1	9	17	7	13	16	0	1	2	73	0	2	13	2	0	5	27	5	0	30	0	2	10	6	50	0	1	0	0	0	14	178	3	0	0
OTU_100	41	0	0	183	0	250	31	0	0	10	1	0	0	0	0	0	0	35	4	36	6	0	14	9	0	0	206	0	20	0	0	0	0	5	101	0	0	0	0
OTU_36	24	0	0	0	0	147	10	0	0	9	0	0	0	0	0	0	0	0	0	5	11	0	0	0	0	0	133	0	0	0	0	0	0	1	0	0	0	0	0
OTU_54	24	0	0	0	0	147	10	0	0	9	0	0	0	0	0	0	0	0	0	6	8	0	0	0	0	0	133	0	0	0	0	0	0	1	0	0	0	0	0
OTU_42	49	0	0	5340	0	263	23	6	8	0	0	13	0	5	0	1	12	9	33	14	0	0	0	5	15	0	269	0	33	0	14	0	0	12	1762	1	2	4	0
OTU_74	13	0	0	1	0	127	5	0	0	11	0	0	0	4	0	0	5	5	0	0	14	0	0	0	0	0	113	0	19	0	3	0	1	0	0	7	2	0	0
OTU_225	13	0	0	1	0	130	15	0	0	12	0	0	0	2	0	0	5	4	0	3	2	0	3	0	0	0	112	0	17	0	0	0	2	0	0	1	2	0	0
OTU_240	14	0	61	0	52	749	138	7	3	342	4	0	1	1	13	6	0	13	31	275	645	0	86	0	3	45	68	0	0	3	4	0	29	7	0	2	0	8	1
OTU_133	5	0	1	174	0	0	0	0	4	1	0	0	0	4	0	1	10	23	55	0	42	3	19	6	0	0	0	11	453	0	5	1	2	1	64	31	4	0	0
OTU_95	30	0	0	0	0	52	12	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0
OTU_364	27	0	0	0	0	53	32	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	9	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0
OTU_122	13	0	0	107161	0	104	4	10	11	28	0	1	0	29	0	0	28	0	27	4	43	0	0	56	11	0	91	46	106	0	39	0	6	0	51911	25	22	3	0
OTU_3	9	2	0	67772	0	104	15	16	2	42	0	0	0	1	0	0	22	0	48	180	11	0	11	46	2	0	68	0	103	0	4	1	20	0	31146	4	21	15	0
OTU_68	10	0	0	0	0	47	5	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0
OTU_398	19	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
OTU_39	15	0	0	0	0	243	6	0	0	3	0	0	0	0	0	0	0	6	0	0	5	0	0	0	0	0	239	0	0	0	0	2	0	0	0	0	0	0	0
OTU_179	15	0	0	0	0	244	13	0	0	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	236	0	0	0	0	2	0	0	0	0	0	0	0
OTU_49	6	0	0	0	0	46	9	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0
OTU_87	6	0	0	0	0	46	9	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0
OTU_180	4	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0
OTU_198	4	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0
OTU_300	11	0	0	1830	0	14	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	16	3	6	0	0	0	1	0	676	0	2	0	0
OTU_17	10	0	0	1799	0	15	3	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	14	0	6	0	0	0	1	0	650	0	2	2	0
OTU_76	10	0	36	0	0	14	31	5	4	0	0	0	0	0	1	0	0	0	0	0	0	1	1	30	0	0	11	0	0	2	2	0	0	0	0	0	0	0	0
OTU_73	10	0	36	0	0	9	30	3	4	0	0	0	0	0	1	0	0	0	0	0	0	1	1	30	0	0	11	0	0	2	2	0	0	0	0	0	0	0	0
OTU_236	22	0	0	0	0	0	0	0	0	0	0	96	0	244	0	0	19	113	0	0	6	39	0	68	8	0	116	0	17	0	0	1	0	0	0	228	9	0	0
OTU_303	10	0	44	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	15	1	22	0	0	0	0	0	0	0	37	0	2	1	0
OTU_51	24	0	18	9	24	308	41	2	2	12	0	0	0	0	1	2	1	26	0	373	12	9	0	14	0	1	282	0	2	0	39	5	0	0	0	0	0	0	0
OTU_14	22	0	18	7	24	308	41	2	2	12	0	0	0	0	1	2	1	25	0	373	11	9	0	14	0	1	276	0	1	0	38	5	0	0	0	0	0	0	0
OTU_18	2	0	0	2159	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	49	0	0	0	0	2	0	0	0	11	0	0	0	0	2	374	0	0	3	0
OTU_255	10	0	0	0	8	12	19	8	3	25	0	1	2	72	6	0	1	0	3	56	0	0	1	4	0	0	7	0	0	0	0	0	7	0	0	257	1	0	1
OTU_86	6	0	0	0	0	50	3	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	61	0	0	0	16	0	0	0	0	0	0	0	0
OTU_88	4	0	0	0	0	76	5	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	85	0	0	0	15	0	0	0	0	0	0	0	0
OTU_130	8	1	0	3	0	266	80	12	17	156	2	0	0	5	31	3	1	2	48	40	47	0	14	1	0	1	16	16	3	13	18	0	38	0	0	7	6	0	0
OTU_361	3	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0
OTU_328	3	0	0	0	0	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0
OTU_108	1	0	0	0	0	18	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0
OTU_118	1	0	0	0	0	18	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0
OTU_66	9	0	5	0	1	55	4	0	0	1	0	0	0	0	0	1	2	0	0	8	0	1	0	2	0	0	82	0	0	0	0	2	1	0	0	0	2	0	0
OTU_85	9	0	9	0	1	60	4	0	0	1	0	0	0	0	0	1	2	0	0	8	0	1	0	2	0	0	78	0	0	0	0	1	1	0	0	0	2	0	0
OTU_352	2	0	0	6	0	15	4	9	9	13	0	0	0	30	0	19	7	17	0	1	7	9	0	7	0	17	114	0	2	0	0	0	0	0	0	14	1	0	0
OTU_195	2	0	0	2	10	126	4	7	0	13	2	0	0	0	13	0	5	10	0	36	0	0	2	1	0	0	115	0	0	6	0	0	1	0	0	0	0	0	0
OTU_1	6	1912	42	1309	33	0	3	3968	4295	2388	26	2221	12	2060	2	5	844	21	8960	2	2552	34	1760	486	23	3	4	8302	2413	1	51	25	398	10	292	1728	430	24	18
OTU_2	6	1929	43	1308	34	0	3	4028	4293	2419	26	2220	12	2059	2	5	843	21	9091	2	2550	34	1782	486	23	3	4	8297	2415	1	52	25	405	10	292	1725	430	25	19
OTU_32	7	0	0	0	0	93	12	0	0	0	4	0	0	11	0	0	0	0	0	22	0	0	0	9	0	0	125	0	0	0	15	0	0	0	0	0	0	0	0
OTU_31	7	0	0	0	0	92	12	0	0	0	4	0	0	11	0	0	0	0	0	22	0	0	0	9	0	0	125	0	0	0	15	0	0	0	0	0	0	0	0
OTU_305	5	0	0	141	1	60	27	46	0	38	1	0	0	9	0	0	62	1	1	49	0	1	8	69	0	0	3	4	10	0	0	1	20	1	4	28	14	0	1
OTU_119	3	0	0	34	0	54	2	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	45	1	39	0	119	9	0	10	2	0	0	0	0
OTU_64	1	0	0	5	0	54	5	0	0	0	2	0	0	0	0	0	0	2	0	3	0	0	1	0	0	0	5	1	6	0	119	2	0	12	0	0	0	1	0
OTU_191	5	0	0	0	0	24	0	0	1	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	1	0
OTU_75	5	0	0	9	0	31	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	1	0	0	0	0	0	1	0	0	0	0
OTU_63	5	0	0	9	0	31	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	1	0	0	0	0	0	1	0	0	0	0
OTU_67	6	0	0	0	0	186	48	0	0	0	0	0	0	0	0	0	5	2	0	0	0	0	13	10	0	0	8	1	0	0	169	0	0	0	0	0	0	0	0
OTU_314	6	0	0	7	0	0	6	0	0	29	0	0	0	25	0	0	2	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0
OTU_301	3	0	0	0	0	0	7	0	0	29	0	0	0	25	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0
OTU_273	5	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	4	0	0	0	0	1	0	0	0
OTU_426	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	23	0	0	6	0	0	1	2	0	12	0	2	0	0	0	0	0	0	0	0	0	0
OTU_104	6	0	0	0	0	52	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0
OTU_120	1	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0
OTU_127	1	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0
OTU_283	3	0	0	0	0	10	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	6	0	0	0
OTU_34	5	0	0	1	0	153	4	0	0	0	0	0	0	6	0	0	0	0	0	1	0	0	0	0	0	0	141	0	0	0	0	0	0	0	0	10	0	0	0
OTU_33	5	0	0	0	0	153	4	0	0	0	0	0	0	6	0	0	0	0	0	1	0	0	0	0	0	0	141	0	0	0	0	0	0	0	0	10	0	0	0
OTU_435	1	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_203	2	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0
OTU_189	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
OTU_140	1	0	0	0	0	31	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
