HFD-5-Fungi-3-1	SD-8-Fungi-2-2	HFD-7-Fungi-2-2	chow-SD-Fungi-3-1	HFD-7-Fungi-1-2	HFD-5-Fungi-2-2	HFD-5-Fungi-3-2	SD-9-Fungi-3-2	SD-9-Fungi-3-1	SD-3-Fungi-3-2	HFD-1-Fungi-1-2	SD-8-Fungi-2-1	SD-8-Fungi-1-1	SD-7-Fungi-1-1	HFD-9-Fungi-2-2	HFD-9-Fungi-3-1	SD-2-Fungi-3-1	HFD-4-Fungi-3-1	SD-9-Fungi-1-2	HFD-8-Fungi-2-2	SD-3-Fungi-3-1	HFD-7-Fungi-1-1	SD-3-Fungi-2-2	SD-2-Fungi-2-1	HFD-6-Fungi-3-1	HFD-9-Fungi-2-1	HFD-5-Fungi-2-1	SD-9-Fungi-2-1	SD-1-Fungi-1-1	HFD-9-Fungi-1-2	HFD-3-Fungi-2-1	HFD-7-Fungi-3-1	SD-2-Fungi-1-2	HFD-6-Fungi-1-2	chow-SD-Fungi-2-1	SD-7-Fungi-3-1	SD-2-Fungi-1-1	HFD-6-Fungi-3-2	SD-8-Fungi-1-2
OTU_168	0	9	0	18	0	0	0	0	0	3	0	7	0	46	0	0	2	0	0	0	3	0	4	3	0	0	0	0	39	0	0	0	1	0	7	22	0	0	1
OTU_186	0	1	0	30	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	10	3	1	0	0
OTU_393	0	41	185	0	31	0	1	0	0	0	0	0	1	0	44	0	0	0	0	52	0	0	35	0	0	0	0	0	0	6	0	0	0	0	0	0	0	6	0
OTU_194	0	9	0	0	0	0	0	0	0	0	0	11	0	0	6	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_193	0	9	0	0	0	0	0	0	0	0	0	11	0	0	6	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_237	0	1	0	2	0	0	0	5	5	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_233	0	1	0	1	0	0	0	5	5	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_52	0	4	0	0	117	205	187	1214	0	1356	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	67	0	0	0	155	0
OTU_374	0	1	0	0	0	0	0	6	0	3	0	0	0	0	0	0	0	0	15	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU_419	0	1	7	0	0	8	0	0	2	0	0	1	0	0	0	0	0	0	7	0	0	0	0	0	0	0	8	0	3	0	0	0	0	0	0	0	0	0	0
OTU_415	0	1	1	0	0	24	2	21	0	14	0	0	0	73	0	0	6	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	10	0	0	174	0	2	0
OTU_82	0	0	82	0	9	0	15	0	0	0	0	0	0	0	23	0	0	0	8	262	0	0	1	0	0	0	0	0	0	5	0	0	1	0	0	0	0	0	0
OTU_270	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
OTU_83	0	0	19	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
OTU_201	0	0	34	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	27	0	5	0	0	0	0	0	0	0	0	0	6	0	0	0
OTU_45	0	0	12	166	0	0	0	8	10	12	0	0	0	6	0	0	1	5	0	16	7	0	1	0	0	0	0	0	6	0	0	0	0	0	19	2	0	0	0
OTU_182	0	0	27	1	20	0	0	1	0	0	0	0	0	0	0	0	1	0	14	0	0	25	0	0	0	0	0	0	1	0	1	3	0	0	0	0	0	0	0
OTU_185	0	0	20	19	15	0	0	0	0	0	0	0	0	0	0	0	1	0	14	0	0	25	0	0	1	0	0	0	1	0	3	3	0	0	0	0	0	0	0
OTU_227	0	0	18	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
OTU_411	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0
OTU_437	0	0	1	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0
OTU_157	0	0	1	29690	0	0	0	0	16	0	1	2	1	162	1	0	25	0	58	0	99	1	10	26	0	0	1	41	146	0	0	1	38	0	12351	86	26	0	1
OTU_138	0	0	0	6985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1852	0	0	0	0
OTU_29	0	0	0	3347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	1139	0	0	0	0
OTU_322	0	0	0	4100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1224	0	0	0	0
OTU_199	0	0	0	6238	21	0	0	0	1	0	0	0	0	30	0	0	7	0	14	0	26	21	3	1	0	0	0	0	2	0	0	1	2	0	2691	0	0	0	0
OTU_4	0	0	0	6223	24	1	0	1	0	50	0	0	0	6	0	0	7	0	14	0	9	21	15	1	0	0	0	0	2	0	0	1	2	0	2688	0	0	0	0
OTU_349	0	0	0	666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	292	0	0	0	0
OTU_388	0	0	0	870	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0
OTU_387	0	0	0	1543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1102	0	0	0	0
OTU_306	0	0	0	654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	28	0	0	0	0
OTU_25	0	0	0	772	0	0	0	0	0	0	0	0	0	5	0	0	0	0	16	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	271	0	0	0	0
OTU_238	0	0	0	748	0	0	0	0	0	0	0	0	0	18	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	267	1	0	0	0
OTU_323	0	0	0	1413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	658	0	0	0	0
OTU_397	0	0	0	220	0	0	0	0	0	0	0	0	0	0	0	0	0	59	5	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	7	0	0	0	0
OTU_13	0	0	0	1260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	908	0	0	0	0
OTU_292	0	0	0	1060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	452	0	0	0	0
OTU_371	0	0	0	2021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	7	0	0	0	7	0	1547	2	7	0	0
OTU_256	0	0	0	432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	646	0	0	0	0
OTU_362	0	0	0	2164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	186	0	0	0	0
OTU_48	0	0	0	306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	371	0	0	0	0
OTU_278	0	0	0	2227	0	0	0	0	2	0	0	0	0	104	0	0	0	8	12	0	12	2	0	5	0	0	0	3	11	0	0	0	0	0	642	47	2	0	0
OTU_334	0	0	0	337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1152	0	0	0	0
OTU_412	0	0	0	2706	0	0	0	0	0	29	0	0	0	72	0	0	2	0	0	0	38	0	0	3	0	0	0	0	0	0	0	0	0	0	764	9	0	0	0
OTU_6	0	0	0	2683	0	0	0	0	0	30	0	0	0	21	0	0	2	0	0	0	14	0	21	3	0	0	0	0	0	0	0	0	0	0	755	3	0	0	0
OTU_78	0	0	0	2088	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	10	0	1103	0	0	0	1
OTU_326	0	0	0	1533	0	0	0	0	0	25	0	0	0	15	0	0	0	0	0	0	27	0	0	1	0	0	0	1	37	0	0	1	0	0	510	3	2	0	0
OTU_70	0	0	0	274	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	23	0	0	0	3	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0
OTU_365	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	49	0	0	0	1	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0
OTU_183	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0
OTU_443	0	0	0	356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0	0	0	0
OTU_251	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_386	0	0	0	682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	799	0	0	0	0
OTU_319	0	0	0	2568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1118	0	0	0	0
OTU_355	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_56	0	0	0	260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0
OTU_46	0	0	0	376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0
OTU_385	0	0	0	319	0	0	0	0	15	0	0	0	0	72	0	0	9	0	5	0	1	0	0	0	0	0	0	0	20	0	0	0	4	0	13	76	8	0	0
OTU_358	0	0	0	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0
OTU_170	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	6	0	1	0	4	0	0
OTU_230	0	0	0	460	0	0	0	0	0	0	0	0	0	8	0	0	1	0	26	0	12	0	0	0	0	0	0	18	0	0	0	0	0	0	136	7	0	0	0
OTU_80	0	0	0	324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	936	1	7	0	0
OTU_164	0	0	0	59	0	21	0	1	0	0	0	0	0	84	0	0	4	0	0	0	1	0	0	0	0	0	20	0	0	0	0	0	0	0	0	7	0	0	0
OTU_141	0	0	0	58	0	21	0	1	0	0	5	0	0	13	0	0	4	0	1	0	0	0	0	0	0	0	14	0	7	0	0	0	7	0	0	0	0	0	0
OTU_142	0	0	0	15	0	37	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	3	0	0	40	0	0	0	0	0	0	0	0	7	3	0	0
OTU_396	0	0	0	202	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	347	0	1	0	0
OTU_346	0	0	0	229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0
OTU_370	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU_308	0	0	0	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0
OTU_158	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0
OTU_442	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_277	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
OTU_93	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	19	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	1	0	0
OTU_176	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	19	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	1	0	0
OTU_218	0	0	0	390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	313	0	0	0	0
OTU_331	0	0	0	13	0	0	0	0	0	12	0	0	0	0	0	0	0	3	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU_272	0	0	0	63	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	2	0	0	0	0	0	11	1	0	0	0	0
OTU_124	0	0	0	63	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1	0	0	0	0	0	12	1	0	0	0	0
OTU_405	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0
OTU_333	0	0	0	4	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_102	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	1	0	0	0	0	0	0	0
OTU_208	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	1	0	0	0	0
OTU_60	0	0	0	309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0
OTU_197	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
OTU_61	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0
OTU_132	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0
OTU_427	0	0	0	37	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	35	0	1	1	0	0	0	0	0	0	0	0	0	0	0	14	0	0	4	0
OTU_290	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	35	2	1	0	0	5	0	0	0	0	0	4	0	0	0	16	0	0	0	0
OTU_69	0	0	0	34	0	0	0	6	8	0	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	10	0	0	0
OTU_302	0	0	0	38	0	0	0	6	8	0	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	3	10	0	0	0
OTU_265	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
OTU_105	0	0	0	166	0	0	0	8	12	12	0	0	0	6	0	0	1	5	0	16	8	0	1	0	0	0	0	0	6	0	0	0	0	0	19	2	0	0	0
OTU_414	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	12	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	8	2	0	0
OTU_318	0	0	0	113	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	44	0	0	0	0	1	0	0	11	0	0	0	0	0	2	0	0	0	0
OTU_264	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
OTU_291	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	22	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0
OTU_368	0	0	0	11	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	22	0	0	4	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
OTU_408	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_383	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	38	0	1	0	0
OTU_329	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	4	0	0	0	1	0	1
OTU_106	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	24	0	0	0	0
OTU_213	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
OTU_394	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_321	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	336	0	0	0	0
OTU_159	0	0	0	12	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	2	9	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0
OTU_125	0	0	0	12	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	2	9	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0
OTU_184	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0
OTU_311	0	0	0	2	0	0	0	0	0	0	0	0	0	9	0	8	9	0	0	4	21	0	0	0	0	0	0	0	1	2	0	0	4	0	0	1	2	0	0
OTU_128	0	0	0	14	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_294	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
OTU_192	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0
OTU_269	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	7	0	0	0	0	0	0	0	0	0	21	0	0	0	0
OTU_156	0	0	0	1	0	7	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	8	0	2	0	0	0	1	0	0	0	2	0	0
OTU_187	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_410	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_228	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU_284	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
OTU_309	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	8	0	0	0	9	0	0
OTU_27	0	0	0	1	0	71	18	0	0	24	0	0	0	1	0	0	0	1	0	97	4	0	3	0	2	0	10	0	2	0	0	0	1	0	0	0	0	11	0
OTU_446	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
OTU_332	0	0	0	25	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
OTU_235	0	0	0	23	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
OTU_137	0	0	0	34	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0
OTU_253	0	0	0	19	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	6	0	0	0	0	0	0	2	0	0	0	0	0	1	0	3	2	2	0	0
OTU_171	0	0	0	20	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	2	3	0	0
OTU_239	0	0	0	5	1	0	161	0	0	1	0	0	0	0	0	0	0	0	1	124	0	0	1	0	0	0	0	0	0	1	0	0	0	0	3	0	0	9	0
OTU_143	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0
OTU_357	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
OTU_188	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_151	0	0	0	24	0	42	0	0	0	0	0	0	0	0	0	7	2	1	0	1	0	4	0	2	0	0	43	0	0	0	0	0	0	0	0	8	0	0	0
OTU_400	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_403	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_258	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
OTU_241	0	0	0	1	0	0	0	0	0	0	0	46	1	270	0	0	15	0	0	0	3	0	0	11	0	0	0	0	11	0	0	0	0	0	2	169	2	0	0
OTU_428	0	0	0	6	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_434	0	0	0	194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	197	0	0	0	0
OTU_310	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	12	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0
OTU_206	0	0	0	2	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
OTU_354	0	0	0	2	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
OTU_166	0	0	0	2	0	0	2	0	0	7	0	0	0	0	0	0	0	0	0	23	0	0	0	1	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0
OTU_117	0	0	0	1	0	0	0	4	10	0	0	0	0	115	0	0	4	0	0	0	0	0	13	1	0	0	0	0	22	0	0	1	3	0	0	58	4	0	1
OTU_24	0	0	0	1	0	0	0	4	10	0	0	0	0	115	0	0	4	0	0	0	0	0	13	1	0	0	0	0	22	0	0	1	3	0	0	58	4	0	1
OTU_438	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_152	0	0	0	4	0	0	0	0	0	0	1	0	0	1	0	0	2	0	10	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	34	0	0	0
OTU_285	0	0	0	11	0	0	0	0	0	0	1	0	0	2	0	0	3	0	10	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	50	0	0	0
OTU_350	0	0	0	8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU_175	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0
OTU_134	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0
OTU_250	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_344	0	0	0	8	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
OTU_353	0	0	0	5	0	0	0	0	0	26	0	0	0	33	0	0	0	0	0	0	25	0	0	0	0	0	0	0	18	0	0	0	0	0	0	27	0	0	0
OTU_220	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
OTU_347	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
OTU_433	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_307	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_304	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
OTU_330	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_260	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
OTU_360	0	0	0	3	0	0	0	4	1	0	0	0	0	1	0	0	1	0	17	0	6	0	1	0	0	0	0	15	4	0	0	1	0	0	1	2	0	0	0
