SD-8-Bacteria-1	SD-4-Bacteria-1	HFD-7-Bacteria-1	HFD-3-Bacteria-1	HFD-4-Bacteria-1	HFD-1-Bacteria-1	HFD-5-Bacteria-1	HFD-9-Bacteria-1	SD-1-Bacteria-1	SD-6-Bacteria-1	HFD-8-Bacteria-1	SD-9-Bacteria-1	SD-7-Bacteria-1	HFD-2-Bacteria-1	HFD-6-Bacteria-1	SD-3-Bacteria-1	SD-5-Bacteria-1	SD-2-Bacteria-1
OTU_436	3	1	1	0	3	0	4	0	0	3	0	4	5	0	0	6	0	4
OTU_447	1	1	3	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1
OTU_138	13	15	0	8	3	1	8	1	9	63	3	19	645	4	35	139	10	62
OTU_34	5	1	334	1	285	23	1844	399	1	4	4129	4	22	530	3279	41	0	3
OTU_13	1	2	1554	8155	383	2182	796	5196	3	3	5165	1	6	5	3377	0	1	1
OTU_161	1	0	0	0	0	0	0	46	0	0	42	0	0	374	138	0	0	0
OTU_284	8	3	0	0	0	0	0	1	6	1	4	1	39	0	8	9	0	65
OTU_213	8	3	20	0	0	0	0	9	0	11	75	1	8	78	138	3	1	1
OTU_323	4	10	33	0	14	14	15	15	8	2	32	1	0	10	13	20	26	21
OTU_209	2	0	65	3	0	45	0	14	4	0	18	0	1	64	50	7	0	1
OTU_204	1	1	8	14	11	1	51	15	1	4	10	1	109	10	45	2	4	4
OTU_201	7	4	0	0	0	0	0	0	10	13	0	10	1	0	0	121	1	174
OTU_14	1	3	862	5940	3319	167	6245	100	1	0	3084	0	4	750	8279	0	0	1
OTU_220	4	5	0	0	0	0	1	0	4	46	0	0	112	10	0	37	1	77
OTU_144	4	8	1	1	2	1	5	0	55	5	2	2	74	3	0	147	5	421
OTU_128	8	0	168	168	46	13	293	0	3	62	1	0	16	277	0	0	2	0
OTU_177	1	307	0	0	0	0	0	0	0	0	3	1	0	0	3	0	0	1
OTU_296	3	1	1	2	6	0	5	20	2	43	20	1	43	2	87	2	5	1
OTU_309	1	0	10	0	8	0	11	0	0	0	2	8	0	0	52	0	0	0
OTU_186	2	2	2	12	11	2	89	5	7	8	4	9	16	24	18	40	3	28
OTU_462	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
OTU_440	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_118	1	0	0	0	0	0	0	0	333	111	0	0	2	0	0	10	0	764
OTU_60	1	2	2	0	0	4	0	0	888	1	2	0	52	0	3	5	4	4084
OTU_328	9	0	1	0	0	0	1	0	0	26	1	0	10	0	0	0	2	7
OTU_388	3	0	0	0	1	0	0	0	0	13	0	0	0	0	0	0	12	0
OTU_251	2	11	0	0	0	0	0	0	10	14	0	8	138	0	0	76	17	22
OTU_450	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
OTU_301	3	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	55	0
OTU_162	1	0	4	0	20	20	20	1	0	12	130	0	3	55	578	5	0	19
OTU_199	1	0	99	1	2	246	11	20	3	0	5	0	0	25	8	1	0	2
OTU_366	1	0	0	0	0	0	0	3	1	0	4	0	0	5	19	0	0	2
OTU_306	1	0	1	0	0	0	0	0	0	1	0	93	23	0	0	0	15	2
OTU_133	1	0	13	91	51	6	320	56	11	32	65	5	2	94	300	13	2	61
OTU_196	6	0	18	0	7	1	7	45	40	207	41	0	0	295	133	0	1	125
OTU_407	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1
OTU_355	2	0	0	0	0	0	0	0	0	10	0	4	24	1	0	0	42	5
OTU_181	1	2	48	13	17	4	35	28	0	0	28	5	0	165	103	1	0	0
OTU_23	4	4012	1	2	3	0	4	0	2	2773	0	3966	486	2	0	2294	7290	3
OTU_453	1	0	0	1	1	0	9	1	0	3	0	4	12	4	4	9	3	1
OTU_225	2	0	0	0	0	0	0	0	29	0	0	7	98	11	0	5	5	150
OTU_289	4	7	4	12	6	3	33	4	9	7	8	4	22	15	27	8	6	39
OTU_28	1	4	1	11	29	9	87	7	2	12892	15	2	744	45	62	0	89	24
OTU_132	1	0	0	0	0	0	0	81	0	0	453	0	1	0	622	0	0	0
OTU_466	2	0	0	0	0	0	1	0	11	0	0	0	0	0	0	0	0	0
OTU_403	3	0	2	1	0	0	0	9	1	2	0	0	0	3	2	2	0	1
OTU_448	1	4	0	0	0	0	0	0	0	0	0	3	0	0	0	1	1	1
OTU_234	1	24	52	6	0	1	8	14	6	134	5	15	111	26	28	167	1	16
OTU_233	1	0	31	0	0	0	0	0	18	2	0	351	2	0	0	0	0	76
OTU_527	2	6	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	2
OTU_435	2	0	0	0	3	0	2	0	0	3	0	0	2	0	0	0	0	14
OTU_515	1	5	68	9	21	132	29	50	5	0	12	3	0	7	9	1	0	0
OTU_468	2	0	4	0	0	0	8	0	0	1	3	0	0	5	0	5	0	1
OTU_236	1	51	3	0	7	0	14	0	40	127	2	13	0	1	12	36	0	99
OTU_480	2	0	0	0	0	0	0	0	0	2	0	0	0	0	7	0	0	2
OTU_523	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	3
OTU_389	2	0	78	37	41	3	192	6	7	5	18	4	20	178	136	31	1	31
OTU_433	1	0	0	0	0	0	0	0	0	0	1	0	0	11	3	0	0	1
OTU_163	1	1	1	3	0	0	20	3	3	358	2	2	23	1	12	9	11	2
OTU_422	1	0	0	0	0	0	0	0	0	3	0	0	10124	0	0	0	1143	0
OTU_531	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	2	0
OTU_446	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_520	1	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	5
OTU_339	2	1	3	15	2	36	13	33	5	1	5	4	2	15	8	11	3	13
OTU_235	1	0	0	0	0	0	0	27	0	0	137	0	0	0	71	0	0	0
OTU_46	0	1731	336	54	241	97	678	170	1	616	262	77	121	111	176	413	3259	0
OTU_110	0	52	0	0	0	0	2	0	1	28	0	80	7	1	0	614	421	0
OTU_71	0	1995	0	32	66	806	51	1106	0	2	270	0	0	59	84	63	2	1
OTU_106	0	230	0	0	0	1	1	1	0	0	0	34	0	0	0	1073	0	0
OTU_59	0	935	0	1	0	0	0	1	556	2	0	3054	6	1	1	421	22	146
OTU_52	0	579	98	1107	26	219	8	4479	1	17	461	0	2	33	636	10	0	23
OTU_188	0	181	0	0	0	0	0	0	0	0	0	111	0	0	0	9	0	0
OTU_139	0	334	0	0	0	0	0	0	0	214	0	2	0	0	0	177	2	0
OTU_68	0	146	0	0	0	0	0	0	0	1	1	0	3746	0	0	692	19	0
OTU_293	0	44	0	0	0	0	0	0	0	8	0	44	6	0	0	20	25	0
OTU_105	0	59	0	0	0	0	0	0	0	0	0	1	0	0	0	1201	0	0
OTU_260	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	191	0	1
OTU_271	0	28	0	0	0	0	0	0	0	6	0	12	2	0	0	9	17	0
OTU_354	0	5	2	0	15	0	4	0	5	1	0	0	3	0	0	0	0	6
OTU_429	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0
OTU_347	0	7	0	0	0	0	0	0	0	0	1	53	0	63	9	0	1	0
OTU_336	0	7	0	0	0	0	0	0	0	0	0	8	0	1	0	44	0	27
OTU_303	0	20	0	0	0	0	0	0	1	0	0	0	0	0	0	69	0	49
OTU_471	0	3	0	0	0	0	0	0	0	0	0	0	25	0	0	4	1	0
OTU_483	0	14	3	8	4	2	26	17	2	1	8	2	0	6	45	338	1	26
OTU_470	0	13	0	0	0	0	0	0	0	0	0	0	41	0	0	26	3	0
OTU_57	0	5	2576	391	242	71	1900	60	5	25	18	8	24	1014	54	38	4	16
OTU_427	0	2	0	0	0	0	0	0	0	6	0	0	0	1	0	12	1	0
OTU_316	0	3	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	25
OTU_167	0	6	0	1	0	0	2	1	15	256	0	35	0	0	1	3	10	63
OTU_160	0	3	0	8	0	0	0	0	0	1	0	3	5	293	0	110	0	0
OTU_279	0	4	0	0	0	0	0	0	2	30	1	0	31	1	0	11	2	14
OTU_140	0	5	10	36	0	849	1	1	0	0	0	0	0	8	1	1	1	0
OTU_250	0	2	0	0	0	0	0	0	3	0	0	0	67	0	0	1	0	0
OTU_526	0	2	0	0	0	0	2	3	1	0	0	1	7	5	5	7	0	0
OTU_262	0	2	0	0	0	0	0	117	0	1	0	0	0	14	4	0	0	0
OTU_493	0	2	0	15	0	2	0	12	1	0	1	0	0	0	2	0	1	0
OTU_333	0	5	0	0	0	0	0	1	0	0	5	0	0	0	18	40	0	0
OTU_212	0	2	4	18	88	5	17	0	0	13	0	6	7	41	0	9	3	0
OTU_467	0	1	0	0	0	0	0	0	0	13	0	0	39	0	0	0	0	0
OTU_430	0	6	0	0	0	0	0	0	0	35	0	0	1	0	0	60	2	11
OTU_415	0	1	3	0	0	0	0	0	0	0	135	40	0	14	98	0	1	0
OTU_536	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
OTU_371	0	1	1	0	0	0	0	1	0	3	0	14	1	4	0	9	1	6
OTU_465	0	1	0	0	0	0	0	13	0	0	0	0	0	0	1	0	0	0
OTU_54	0	1	505	1	1082	1	2686	238	0	1	44	0	0	520	424	1	1	0
OTU_314	0	1	0	0	0	0	0	3	0	0	1	0	0	8	6	0	0	0
OTU_386	0	1	4	8	0	8	0	135	0	0	6	0	0	0	12	0	0	0
OTU_534	0	1	22	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU_221	0	2	10	2	12	32	56	86	0	0	21	0	0	79	33	2	0	0
OTU_434	0	1	2	2	0	1	1	0	0	1	2	1	0	12	1	0	0	1
OTU_87	0	1	665	24	55	14	401	415	0	159	332	0	130	81	1368	0	12	0
OTU_175	0	1	0	14	117	10	180	90	2	2	11	3	34	54	82	13	3	6
OTU_500	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU_187	0	1	33	33	2	9	134	2	0	75	54	0	1	504	471	0	0	0
OTU_202	0	0	84	2	35	0	125	1	0	415	2	0	167	7	1	0	28	0
OTU_165	0	0	32	289	220	54	96	1	0	0	4	0	0	7	0	0	0	0
OTU_170	0	0	416	1	35	1	4	3	0	3	0	48	3	1	2	0	2	2
OTU_505	0	0	73	14	39	5	80	0	0	1	0	0	3	20	0	0	0	0
OTU_192	0	0	57	1	1	0	101	0	0	6	0	0	309	0	0	1	119	1
OTU_394	0	0	2	0	4	0	5	0	0	9	2	3	0	37	20	0	1	31
OTU_372	0	0	16	1	0	4	2	2	0	0	2	0	0	14	0	0	0	0
OTU_242	0	0	31	2	0	3	0	0	12	80	0	0	255	28	0	0	0	0
OTU_518	0	0	3	0	0	0	1	0	2	1	0	0	0	0	0	0	0	18
OTU_168	0	0	67	0	0	0	0	5	0	0	142	0	0	0	349	0	0	0
OTU_410	0	0	2	0	0	0	0	1	0	1	0	0	0	1	7	0	0	0
OTU_482	0	0	16	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0
OTU_461	0	0	7	0	0	0	0	0	0	9	0	0	0	0	0	7	0	0
OTU_504	0	0	3	1	0	2	1	4	0	0	3	2	0	7	5	0	2	0
OTU_298	0	0	1	39	3	28	3	15	2	3	4	0	0	15	13	0	0	0
OTU_326	0	0	6	1	0	1	9	12	6	25	2	16	42	13	22	0	4	22
OTU_369	0	0	1	0	0	0	1	0	0	21	3	1	0	0	10	0	1	0
OTU_151	0	0	26	0	453	0	43	0	0	41	0	2	7	0	0	1	3	0
OTU_495	0	0	5	0	3	27	10	49	0	0	1	0	0	0	15	0	0	0
OTU_340	0	0	17	5	3	0	40	7	1	0	4	2	2	10	14	7	0	22
OTU_173	0	0	13	8	181	7	36	0	0	29	0	20	5	119	0	0	22	0
OTU_382	0	0	3	11	4	2	16	1	8	1	1	1	4	21	1	0	6	11
OTU_444	0	0	1	0	10	0	15	1	0	0	2	0	11	0	3	1	1	0
OTU_180	0	0	7	222	6	53	63	4	12	1	1	3	1	59	6	7	0	19
OTU_528	0	0	3	0	0	0	1	0	0	0	1	0	2	1	4	0	1	0
OTU_211	0	0	2	11	5	0	58	9	0	1	31	0	0	3	139	0	0	0
OTU_305	0	0	3	0	60	1	29	0	0	0	0	0	0	2	0	0	0	0
OTU_103	0	0	1	124	143	81	1490	1	0	1	0	0	3	6	1	0	1	0
OTU_438	0	0	1	15	0	7	0	1	0	0	13	0	0	0	2	0	0	0
OTU_191	0	0	1	1	0	0	0	90	0	0	166	0	2	49	279	0	0	0
OTU_396	0	0	1	0	11	1	4	0	1	0	6	0	1	0	0	0	0	1
OTU_516	0	0	2	0	4	0	1	0	1	0	0	0	0	0	0	0	0	0
OTU_129	0	0	2	2	686	17	42	1	1	0	9	13	0	218	6	0	0	0
OTU_411	0	0	2	0	0	0	1	0	0	7	0	4	33	0	1	1	0	20
OTU_385	0	0	1	0	0	0	0	0	0	0	28	0	0	0	48	0	1	0
OTU_283	0	0	1	0	31	2	28	0	0	0	0	0	0	47	0	0	0	0
OTU_497	0	0	0	19	0	13	0	14	0	0	16	4	0	2	1	0	0	0
OTU_183	0	0	0	555	0	12	0	0	0	0	0	0	0	208	0	0	0	0
OTU_514	0	0	0	5	0	1	0	0	0	0	4	0	0	1	8	0	0	0
OTU_315	0	0	0	4	0	18	1	12	1	0	15	0	0	20	38	0	0	0
OTU_507	0	0	0	9	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU_363	0	0	0	72	0	261	0	179	0	0	338	0	0	99	184	0	0	0
OTU_246	0	0	0	23	14	7	24	13	0	0	12	0	0	60	36	0	0	0
OTU_439	0	0	0	6	0	2	0	1	0	0	0	0	0	0	0	0	0	0
OTU_231	0	0	0	15	27	12	173	1	0	0	2	0	0	6	0	0	0	0
OTU_488	0	0	0	19	0	33	0	11	0	0	126	0	0	31	22	0	0	0
OTU_274	0	0	0	11	15	0	22	18	0	0	6	0	0	10	22	0	0	0
OTU_529	0	0	0	2	0	0	0	4	0	0	3	0	0	0	10	4	0	1
OTU_338	0	0	0	14	0	0	0	4	0	0	2	0	1	17	18	0	0	0
OTU_240	0	0	0	13	0	5	2	29	0	0	58	0	2	27	137	0	0	0
OTU_321	0	0	0	7	0	0	0	10	0	0	1	0	0	23	12	0	0	0
OTU_532	0	0	0	5	0	1	0	0	0	0	0	0	0	3	0	0	0	0
OTU_431	0	0	0	3	0	0	0	1	0	1	0	0	0	21	0	0	0	0
OTU_291	0	0	0	2	0	15	0	2	0	4	8	16	0	31	20	0	1	0
OTU_190	0	0	0	5	11	2	234	4	0	1	35	0	0	5	58	0	0	0
OTU_275	0	0	0	1	8	0	37	7	0	0	3	0	0	13	63	0	0	1
OTU_401	0	0	0	1	2	1	4	2	1	0	4	0	2	2	4	0	0	1
OTU_513	0	0	0	4	0	2	0	0	0	0	1	0	0	5	9	0	0	0
OTU_406	0	0	0	3	0	1	0	0	0	0	3	1	0	0	0	0	0	0
OTU_266	0	0	0	1	0	3	0	83	0	0	17	0	0	11	101	0	0	0
OTU_474	0	0	0	0	338	0	318	0	0	0	1	0	1	0	0	0	1	0
OTU_501	0	0	0	0	16	0	5	0	0	0	0	1	0	4	5	0	0	0
OTU_469	0	0	0	0	9	0	32	0	0	0	0	0	1	0	0	0	0	0
OTU_479	0	0	0	0	2	0	2	0	3	0	0	0	0	0	0	0	0	0
OTU_524	0	0	0	0	1	0	0	1	0	1	0	0	7	0	0	3	0	1
OTU_476	0	0	0	0	3	0	10	0	0	0	0	0	0	0	0	0	0	0
OTU_322	0	0	0	0	5	0	1	10	0	0	10	1	0	19	21	0	0	0
OTU_512	0	0	0	0	2	0	1	1	0	0	2	0	8	0	0	0	0	1
OTU_370	0	0	0	0	1	0	0	0	1	0	0	51	0	31	0	0	0	3
OTU_426	0	0	0	0	1	0	3	0	0	0	0	0	0	0	8	0	0	0
OTU_496	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_374	0	0	0	0	0	1	1	1	0	2	0	0	1	2	1	4	0	1
OTU_319	0	0	0	0	0	1	0	3	1	0	3	0	1	5	6	0	1	0
OTU_119	0	0	0	0	0	1	2	0	0	0	107	0	1	1710	189	0	0	0
OTU_475	0	0	0	0	0	0	1	1	0	5	0	0	2	0	2	0	1	0
OTU_206	0	0	0	0	0	0	1	0	0	91	0	0	9	0	1	0	176	0
OTU_230	0	0	0	0	0	0	1	0	0	2	0	0	1	1	6	210	1	1
OTU_125	0	0	0	0	0	0	0	97	0	0	357	0	0	0	1407	0	0	0
OTU_277	0	0	0	0	0	0	0	8	0	0	7	0	0	0	118	0	0	0
OTU_281	0	0	0	0	0	0	0	55	0	0	0	0	2	129	14	0	0	0
OTU_405	0	0	0	0	0	0	0	16	0	85	35	0	0	0	115	0	0	0
OTU_409	0	0	0	0	0	0	0	17	0	0	4	0	0	0	23	0	0	0
OTU_492	0	0	0	0	0	0	0	27	0	0	16	0	0	0	22	0	0	0
OTU_297	0	0	0	0	0	0	0	7	0	0	46	0	0	0	76	0	0	0
OTU_494	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0
OTU_346	0	0	0	0	0	0	0	11	0	0	10	0	0	0	24	0	0	0
OTU_169	0	0	0	0	0	0	0	3	0	0	95	0	0	0	465	0	0	0
OTU_253	0	0	0	0	0	0	0	2	0	0	74	0	0	0	52	0	0	0
OTU_463	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
OTU_404	0	0	0	0	0	0	0	0	18	3	0	53	148	1	0	26	41	2
OTU_349	0	0	0	0	0	0	0	0	2	9	0	2	17	0	0	4	3	9
OTU_499	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
OTU_498	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
OTU_423	0	0	0	0	0	0	0	0	1	0	1	0	0	0	3	17	0	0
OTU_454	0	0	0	0	0	0	0	0	1	6	0	1	70	0	5	2	2	7
OTU_252	0	0	0	0	0	0	0	0	0	154	0	0	0	0	0	0	12	0
OTU_342	0	0	0	0	0	0	0	0	0	19	0	0	4	0	0	0	47	0
OTU_392	0	0	0	0	0	0	0	0	0	20	0	0	18	0	0	2	4	0
OTU_472	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	4	0
OTU_490	0	0	0	0	0	0	0	0	0	6	0	0	0	0	1	0	0	0
OTU_473	0	0	0	0	0	0	0	0	0	2	0	2	1	0	0	0	4	0
OTU_304	0	0	0	0	0	0	0	0	0	3	0	1	61	1	1	0	1	0
OTU_367	0	0	0	0	0	0	0	0	0	1	0	66	0	0	0	1	0	0
OTU_481	0	0	0	0	0	0	0	0	0	3	0	0	0	7	0	0	1	0
OTU_393	0	0	0	0	0	0	0	0	0	3	0	0	1	0	7	7	0	0
OTU_457	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0
OTU_421	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	4
OTU_378	0	0	0	0	0	0	0	0	0	1	0	23	0	0	1	0	0	16
OTU_278	0	0	0	0	0	0	0	0	0	2	3	2	21	22	21	18	0	0
OTU_164	0	0	0	0	0	0	0	0	0	0	268	0	0	19	483	0	0	0
OTU_375	0	0	0	0	0	0	0	0	0	0	5	0	0	0	26	0	0	0
OTU_484	0	0	0	0	0	0	0	0	0	0	9	0	0	0	21	0	0	0
OTU_387	0	0	0	0	0	0	0	0	0	0	8	0	0	0	11	0	0	0
OTU_365	0	0	0	0	0	0	0	0	0	0	7	0	0	0	39	0	0	0
OTU_418	0	0	0	0	0	0	0	0	0	0	3	0	0	0	7	0	0	0
OTU_414	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0
OTU_299	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0
OTU_509	0	0	0	0	0	0	0	0	0	0	0	1	4	1	0	0	1	0
OTU_166	0	0	0	0	0	0	0	0	0	0	0	0	485	0	0	0	254	0
OTU_508	0	0	0	0	0	0	0	0	0	0	0	0	146	0	0	0	14	0
OTU_517	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	5	0
OTU_452	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
OTU_506	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
OTU_530	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0
OTU_432	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
OTU_420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
OTU_525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0
OTU_533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
OTU_535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
OTU_521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
