B.BacV5.1_N_C_NA_W_U_FY	C.BacV5.12_N_L_NA_K_C_N	A.BacV5.9_Y_C_NA_C_U_FY	E.BacV5.7_Y_L_NA_C_CB_N	C.BacV5.13_N_L_NA_W_LB_N	E.BacV5.3_Y_T_EY_U_U_FY	D.BacV5.17_N_T_ERG_U_U_FY	E.BacV5.4_Y_T_EY_U_U_FY	E.BacV5.18_N_L_NA_K_CB_N	G.BacV5.13_N_T_ERG_U_U_FY	B.BacV5.18_N_C_NA_C_U_FY	D.BacV5.3_Y_L_NA_C_L_Y	E.BacV5.8_Y_L_NA_K_CB_N	D.BacV5.12_N_L_NA_W_L_Y	E.BacV5.9_Y_L_NA_W_C_Y	A.BacV5.4_Y_L_NA_W_L_Y	C.BacV5.10_Y_T_WH_U_U_FY	D.BacV5.2_Y_L_NA_W_L_Y	C.BacV5.6_Y_L_NA_W_L_Y	C.BacV5.20_N_T_WH_U_U_FY	B.BacV5.8_N_L_NA_W_LB_N	C.BacV5.1_Y_L_NA_C_C_N	A.BacV5.10_Y_C_NA_C_U_FY	C.BacV5.19_N_T_WH_U_U_FY	A.BacV5.15_Y_L_NA_W_C_Y	C.BacV5.16_N_L_NA_W_L_Y	B.BacV5.6_N_L_NA_K_LB_N	A.BacV5.12_Y_L_NA_W_CB_N	B.BacV5.16_N_L_NA_W_LB_N	A.BacV5.3_Y_L_NA_K_LB_N	C.BacV5.5_Y_L_NA_K_LB_N	E.BacV5.10_Y_L_NA_C_C_N	F.BacV5.11_N_L_NA_K_C_N	F.BacV5.12_N_L_NA_K_CB_N	C.BacV5.4_Y_L_NA_C_LB_N	G.BacV5.1_Y_T_WH_U_U_FY	F.BacV5.2_Y_L_NA_K_CB_N	D.BacV5.7_Y_T_ERG_U_U_FY	F.BacV5.14_N_L_NA_C_C_N	H.BacV5.7_Y_T_WH_U_U_FY	G.BacV5.12_N_T_WH_U_U_FN	G.BacV5.18_N_T_EY_U_U_FN	A.BacV5.14_Y_L_NA_K_CB_N	A.BacV5.17_Y_L_NA_C_LB_N		H.BacV5.8_Y_T_JUG_U_U_FY	A.BacV5.13_Y_L_NA_C_CB_N	F.BacV5.8_Y_C_NA_K_U_FY	E.BacV5.15_N_T_PFN_U_U_FN	F.BacV5.4_Y_L_NA_C_C_N	D.BacV5.13_N_L_NA_C_L_Y	C.BacV5.18_N_L_NA_K_L_N	C.BacV5.7_Y_L_NA_C_L_Y	H.BacV5.3_Y_L_NA_K_L_N	F.BacV5.5_Y_L_NA_K_C_N	F.BacV5.3_Y_L_NA_W_C_Y	G.BacV5.20_N_T_PFN_U_U_FN	D.BacV5.20_N_T_JUG_U_U_FY	D.BacV5.14_N_L_NA_K_L_N	E.BacV5.20_N_L_NA_C_C_N	B.BacV5.17_N_L_NA_C_LB_N	E.BacV5.11_N_C_NA_K_U_FN	C.BacV5.3_Y_L_NA_W_LB_N	B.BacV5.19_N_C_NA_K_U_FY	E.BacV5.13_N_T_EY_U_U_FY	E.BacV5.14_N_T_EY_U_U_FY	H.BacV5.2_Y_L_NA_K_LB_N	D.BacV5.16_N_L_NA_C_CB_N	C.BacV5.14_N_L_NA_C_LB_N	B.BacV5.12_N_L_NA_W_CB_N	G.BacV5.14_N_T_ERG_U_U_FN	E.BacV5.5_Y_T_PFN_U_U_FN	D.BacV5.4_Y_L_NA_K_L_N	E.BacV5.1_Y_C_NA_K_U_FN	B.BacV5.10_N_C_NA_C_U_FY	G.BacV5.6_Y_T_JUG_U_U_FY	C.BacV5.15_N_L_NA_K_LB_N	B.BacV5.5_N_L_NA_W_L_Y	B.BacV5.20_N_C_NA_K_U_FY	E.BacV5.12_N_T_EY_U_U_FN	A.BacV5.1_Y_L_NA_W_LB_N	B.BacV5.9_N_C_NA_C_U_FY	C.BacV5.17_N_L_NA_C_L_Y	G.BacV5.5_Y_T_JUG_U_U_FN	A.BacV5.6_Y_C_NA_W_U_FY	G.BacV5.19_N_T_EY_U_U_FN	B.BacV5.15_N_L_NA_W_C_Y	D.BacV5.19_N_T_JUG_U_U_FY	B.BacV5.4_N_L_NA_C_L_Y	C.BacV5.11_N_L_NA_C_C_N	B.BacV5.11_N_L_NA_K_L_N	C.BacV5.2_Y_L_NA_K_C_N	E.BacV5.16_N_L_NA_W_CB_N	F.BacV5.1_Y_L_NA_K_C_N	E.BacV5.2_Y_T_EY_U_U_FN	F.BacV5.7_Y_C_NA_W_U_FY	D.BacV5.15_N_L_NA_W_CB_N	A.BacV5.2_Y_L_NA_C_LB_N	A.BacV5.19_Y_C_NA_K_U_FY	B.BacV5.7_N_L_NA_C_LB_N	G.BacV5.9_Y_T_EY_U_U_FN	G.BacV5.16_N_T_JUG_U_U_FY	H.BacV5.9_Y_L_NA_C_L_Y	A.BacV5.18_Y_C_NA_C_U_FY	G.BacV5.11_N_T_WH_U_U_FY	D.BacV5.6_Y_L_NA_C_CB_N	G.BacV5.3_Y_T_ERG_U_U_FY	A.BacV5.16_Y_L_NA_W_LB_N	A.BacV5.11_Y_L_NA_K_L_N	D.BacV5.11_N_L_NA_K_LB_N	D.BacV5.9_Y_T_JUG_U_U_FY
OTU_2520	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
OTU_1985	95	0	0	0	0	0	2	0	0	8	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	31	0	0	0	196	0	0	287	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	30	0	1	0	0	0	0
OTU_51	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	165	0	0	0	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	75	0	0	4	0	0	0	0	0	0	0	0	0	0	2	0	0	11101	0	0	0	0	0	0
OTU_159	11	0	1	0	0	2	0	4	25	2	6	0	0	4	0	0	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	3	27	0	0	0	1	4	42	0	0	0	0	128	0	0	0	41	7	0	0	0	9	0	0	0	12	6	6	0	10	0	0	0	0	4	0	0	0	0	0	0	0	116	4	1	53	1	0	0	16	0	0	1	0	3	0	0	0	0	0	0	26	0	0	0	0	0	11	1	0	0	0	0	0	2	0	1	0	0
OTU_12	443	0	17	0	0	759	77	704	0	30	668	4	1	241	1	0	0	16	0	6	0	0	176	9	0	0	0	0	0	0	1	4	0	0	0	184	1	692	1	240	10	221	0	0	6185	46	0	4862	228	1	0	0	3	2	0	1	0	0	0	0	0	14222	0	55	0	15	0	2	0	6	0	410	2	2641	5066	90	0	3	3614	16	0	64	0	192	89	98	0	7	0	0	6	0	0	0	693	3876	0	1	103	0	3	1	38	8	15211	3	88	0	12	0	100
OTU_36	146	0	29	0	0	250	0	117	6	152	9	1	2	0	2	0	0	0	0	0	0	0	176	0	0	0	0	0	0	0	0	40	0	0	0	15	0	78	1	53	6	51	0	0	6869	137	0	2177	639	1	0	0	0	14	4	4	0	0	0	0	0	52	1	0	0	0	0	0	0	5	0	6641	0	4894	917	79	0	0	55	0	0	32	0	175	68	0	0	7	0	0	17	0	0	46	246	3151	0	0	92	0	36	9	2	32	208	17	39	0	2	0	9
OTU_119	14	0	0	0	0	2	20	0	0	200	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	2	0	0	0	10	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	9	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	2	0	74	0	58	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	3032	0	0	0	0	0	0
OTU_832	53	0	0	0	1	87	94	336	1	16	36	0	0	0	0	0	0	0	0	0	0	0	8	1	0	0	0	0	0	0	0	0	0	5	0	20	0	46	46	15	5	90	0	1	420	9	0	101	8	0	0	0	0	0	0	2	7	0	0	1	0	342	0	0	8	2	0	4	0	0	12	23	6	207	323	70	0	0	91	1	0	8	1	75	9	50	0	30	0	0	0	0	0	0	903	128	0	0	5	0	6	83	0	2	437	0	35	0	0	0	132
OTU_2325	256	0	0	0	0	1430	42	5586	0	1011	45	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156	0	174	0	200	488	933	0	0	2184	29	0	684	430	0	0	0	0	2	0	0	188	4	0	0	0	107	0	11	203	572	0	0	0	0	3378	1906	0	1010	365	380	0	1	34	387	0	16	0	394	0	1217	0	808	0	0	0	0	0	0	1666	568	0	0	0	0	43	3368	5	0	10229	0	319	0	0	0	482
OTU_29	111	0	0	0	0	1301	13	1797	0	146	16	0	2	0	0	0	3	0	0	1	0	0	56	5	0	0	0	0	0	0	0	0	0	0	0	91	0	161	0	113	34	299	0	0	1167	3	0	283	1365	0	0	0	0	0	0	1	66	1	0	0	0	502	0	0	104	109	0	0	0	0	94	1649	0	1361	517	358	0	0	8	389	0	20	0	1123	12	226	0	564	0	0	0	0	0	0	995	297	0	0	0	0	34	326	0	5	1943	0	125	0	0	0	607
OTU_14	118	3	22	0	2	1864	365	9046	327	6382	128	1308	2545	584	1661	203	0	384	48	5	145	16	59	35	42	7	36	198	198	174	25	1584	99	141	6	760	121	641	343	967	440	3342	198	183	5502	218	192	3169	1196	1278	1227	6	3	1459	277	61	551	99	116	281	54	176	138	82	209	726	53	185	1	126	148	5772	68	1595	1574	2398	1	290	199	640	273	73	1	4212	61	5743	600	1262	97	0	104	13	207	1802	4635	1876	183	487	62	24	297	3091	1730	2	18610	83	1832	57	322	82	3370
