B.BacV5.1_N_C_NA_W_U_FY	C.BacV5.12_N_L_NA_K_C_N	A.BacV5.9_Y_C_NA_C_U_FY	E.BacV5.7_Y_L_NA_C_CB_N	C.BacV5.13_N_L_NA_W_LB_N	E.BacV5.3_Y_T_EY_U_U_FY	D.BacV5.17_N_T_ERG_U_U_FY	E.BacV5.4_Y_T_EY_U_U_FY	E.BacV5.18_N_L_NA_K_CB_N	G.BacV5.13_N_T_ERG_U_U_FY	B.BacV5.18_N_C_NA_C_U_FY	D.BacV5.3_Y_L_NA_C_L_Y	E.BacV5.8_Y_L_NA_K_CB_N	D.BacV5.12_N_L_NA_W_L_Y	E.BacV5.9_Y_L_NA_W_C_Y	A.BacV5.4_Y_L_NA_W_L_Y	C.BacV5.10_Y_T_WH_U_U_FY	D.BacV5.2_Y_L_NA_W_L_Y	C.BacV5.6_Y_L_NA_W_L_Y	C.BacV5.20_N_T_WH_U_U_FY	B.BacV5.8_N_L_NA_W_LB_N	C.BacV5.1_Y_L_NA_C_C_N	A.BacV5.10_Y_C_NA_C_U_FY	C.BacV5.19_N_T_WH_U_U_FY	A.BacV5.15_Y_L_NA_W_C_Y	C.BacV5.16_N_L_NA_W_L_Y	B.BacV5.6_N_L_NA_K_LB_N	A.BacV5.12_Y_L_NA_W_CB_N	B.BacV5.16_N_L_NA_W_LB_N	A.BacV5.3_Y_L_NA_K_LB_N	C.BacV5.5_Y_L_NA_K_LB_N	E.BacV5.10_Y_L_NA_C_C_N	F.BacV5.11_N_L_NA_K_C_N	F.BacV5.12_N_L_NA_K_CB_N	C.BacV5.4_Y_L_NA_C_LB_N	G.BacV5.1_Y_T_WH_U_U_FY	F.BacV5.2_Y_L_NA_K_CB_N	D.BacV5.7_Y_T_ERG_U_U_FY	F.BacV5.14_N_L_NA_C_C_N	H.BacV5.7_Y_T_WH_U_U_FY	G.BacV5.12_N_T_WH_U_U_FN	G.BacV5.18_N_T_EY_U_U_FN	A.BacV5.14_Y_L_NA_K_CB_N	A.BacV5.17_Y_L_NA_C_LB_N		H.BacV5.8_Y_T_JUG_U_U_FY	A.BacV5.13_Y_L_NA_C_CB_N	F.BacV5.8_Y_C_NA_K_U_FY	E.BacV5.15_N_T_PFN_U_U_FN	F.BacV5.4_Y_L_NA_C_C_N	D.BacV5.13_N_L_NA_C_L_Y	C.BacV5.18_N_L_NA_K_L_N	C.BacV5.7_Y_L_NA_C_L_Y	H.BacV5.3_Y_L_NA_K_L_N	F.BacV5.5_Y_L_NA_K_C_N	F.BacV5.3_Y_L_NA_W_C_Y	G.BacV5.20_N_T_PFN_U_U_FN	D.BacV5.20_N_T_JUG_U_U_FY	D.BacV5.14_N_L_NA_K_L_N	E.BacV5.20_N_L_NA_C_C_N	B.BacV5.17_N_L_NA_C_LB_N	E.BacV5.11_N_C_NA_K_U_FN	C.BacV5.3_Y_L_NA_W_LB_N	B.BacV5.19_N_C_NA_K_U_FY	E.BacV5.13_N_T_EY_U_U_FY	E.BacV5.14_N_T_EY_U_U_FY	H.BacV5.2_Y_L_NA_K_LB_N	D.BacV5.16_N_L_NA_C_CB_N	C.BacV5.14_N_L_NA_C_LB_N	B.BacV5.12_N_L_NA_W_CB_N	G.BacV5.14_N_T_ERG_U_U_FN	E.BacV5.5_Y_T_PFN_U_U_FN	D.BacV5.4_Y_L_NA_K_L_N	E.BacV5.1_Y_C_NA_K_U_FN	B.BacV5.10_N_C_NA_C_U_FY	G.BacV5.6_Y_T_JUG_U_U_FY	C.BacV5.15_N_L_NA_K_LB_N	B.BacV5.5_N_L_NA_W_L_Y	B.BacV5.20_N_C_NA_K_U_FY	E.BacV5.12_N_T_EY_U_U_FN	A.BacV5.1_Y_L_NA_W_LB_N	B.BacV5.9_N_C_NA_C_U_FY	C.BacV5.17_N_L_NA_C_L_Y	G.BacV5.5_Y_T_JUG_U_U_FN	A.BacV5.6_Y_C_NA_W_U_FY	G.BacV5.19_N_T_EY_U_U_FN	B.BacV5.15_N_L_NA_W_C_Y	D.BacV5.19_N_T_JUG_U_U_FY	B.BacV5.4_N_L_NA_C_L_Y	C.BacV5.11_N_L_NA_C_C_N	B.BacV5.11_N_L_NA_K_L_N	C.BacV5.2_Y_L_NA_K_C_N	E.BacV5.16_N_L_NA_W_CB_N	F.BacV5.1_Y_L_NA_K_C_N	E.BacV5.2_Y_T_EY_U_U_FN	F.BacV5.7_Y_C_NA_W_U_FY	D.BacV5.15_N_L_NA_W_CB_N	A.BacV5.2_Y_L_NA_C_LB_N	A.BacV5.19_Y_C_NA_K_U_FY	B.BacV5.7_N_L_NA_C_LB_N	G.BacV5.9_Y_T_EY_U_U_FN	G.BacV5.16_N_T_JUG_U_U_FY	H.BacV5.9_Y_L_NA_C_L_Y	A.BacV5.18_Y_C_NA_C_U_FY	G.BacV5.11_N_T_WH_U_U_FY	D.BacV5.6_Y_L_NA_C_CB_N	G.BacV5.3_Y_T_ERG_U_U_FY	A.BacV5.16_Y_L_NA_W_LB_N	A.BacV5.11_Y_L_NA_K_L_N	D.BacV5.11_N_L_NA_K_LB_N	D.BacV5.9_Y_T_JUG_U_U_FY
OTU_319	0	0	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0
OTU_255	0	0	161	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	302	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	13	1	0	0	585	21	3	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	1	0	0	7	8	0	0	0	0	0	0	0	0	0	0	110	0	0	43	0	0	0	0	21	7	0	145	0	0	0	0
OTU_1299	0	0	21	0	0	1	0	53	0	5	0	0	0	0	0	1	0	0	0	0	0	0	17	0	0	0	0	0	0	1	0	0	4	0	0	21	1	10	0	8	0	9	0	4	54	0	0	218	0	0	0	0	0	9	0	0	0	0	0	0	0	8	0	0	0	7	0	0	0	0	0	13	0	91	10	6	0	0	1	5	0	0	0	32	4	7	0	6	0	0	0	0	0	116	5	211	0	1	32	0	2	0	0	3	156	4	26	1	15	0	7
OTU_127	0	0	11	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	50	0	0	121	13	0	7	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	374	0	43	1	0	0	0	0	0	0	0	0	93	54	0	0	0	0	0	0	0	0	0	878	14	0	0	49	0	239	0	0	5	0	0	0	0	0	0	7
OTU_1383	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0
OTU_18	0	0	24	0	0	0	44	0	0	0	0	0	0	33	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	14	0	40	2134	0	0	203	0	0	52	0	0	229	1	177	0	0	0	0	2	0	0	0	0	0	0	16712	0	0	0	0	0	0	0	0	0	1	1	294	0	16	0	0	123	0	0	103	0	190	0	9	0	0	0	0	0	0	0	0	0	41	0	0	11	0	0	0	0	0	505	0	1	0	0	0	0
OTU_1579	0	0	16	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU_3716	0	0	44	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	4	0	0	48	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	12	0	20	2	1	0	0	0	0	0	0	0	3	8	0	0	0	0	0	0	0	0	0	3	41	0	0	88	0	0	0	0	3	21	0	1	0	0	0	2
OTU_762	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	5	30	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	2	0	0	0	0	0	0	0
OTU_1595	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	3
OTU_129	0	0	40	0	0	739	170	655	1	2	0	0	0	0	1	4	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	8	0	742	0	0	0	14	0	0	0	189	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	585	27	0	0	0	0	0	0	0	0	0	744	32	0	0	47	0	443	11	0	16	11	0	115	0	0	0	240
OTU_273	0	0	78	0	0	0	0	141	0	0	0	0	0	0	0	0	215	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	7	0	8	0	0	0	0	0	0	1183	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0	0	0	0	0	0	0	0	0	0	171	0	0	0	0	0	0	0	0	0	0	209	0	0	186	0	0	0	0	106	0	0	12	0	0	0	0
OTU_2538	0	0	13	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	1	0	0	153	0	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	16	16	5	0	0	0	0	0	0	0	8	9	0	0	0	0	0	0	0	0	0	38	196	0	0	14	0	2	0	0	3	7	0	0	0	0	0	0
OTU_2304	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_306	0	0	4	0	0	0	0	2	0	0	0	0	1	0	0	3	0	11	0	0	0	0	55	0	1	0	0	63	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	21	0	0	0	0	0	34	3	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	212	1	110	0	0	0	0	0	0	2	0	0	0	6	0	0	0	0	0	0	0	0	0	70	17	0	0	0	0	0	0	0	0	0	1	0	0	18	0	0
OTU_486	0	0	2	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	13	0	2	0	0	21	6	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0	15	0	23	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	119	27	0	0	3	0	8	0	0	0	14	0	3	0	0	0	7
OTU_3339	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	159	0	31	0	0	0	16	2	99	0	1	0	0	95	0	0	0	0	257	2	0	0	0	2	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	47	0	4	0	0	0
OTU_95	0	0	13	0	0	223	627	108	0	85	0	0	0	0	0	0	0	1	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	26	0	118	0	13	0	19	0	1	102	305	0	250	87	0	0	0	0	26	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	1	592	0	376	32	586	0	0	0	0	0	0	0	227	4	21	0	0	0	0	0	0	0	0	355	209	0	0	7	0	113	5	0	2	102	0	461	0	4	0	36
OTU_627	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	85	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	9	0	0	0	0	0	0	0
OTU_257	0	0	23	0	0	0	0	59	0	4	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	10	0	44	0	48	0	27	0	0	115	3	0	136	0	13	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	86	0	71	16	41	0	0	5	0	0	0	0	70	3	0	0	0	0	0	0	0	0	0	178	99	2	0	2	0	1	0	0	0	51	0	0	0	0	0	7
OTU_374	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	4	261	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	8	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	1	0	4	3	0	27	0	0	0	12
OTU_1444	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	21	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	4	30	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0
OTU_3303	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_3945	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	26	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	14	0	0	11	0	0	0	0	2	0	0	0	0	0	0	0
OTU_1382	0	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	42	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	11	0	13	0	4	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	19	1	0	0	0	0	23	0	0	0	0	0	15	0	0	0	5
OTU_3979	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	2	0	0	0	0	0	0	0
OTU_3791	0	0	3	0	0	1	3	4	0	7	0	0	0	0	0	4	2	0	0	48	0	0	7	19	0	0	0	0	0	0	0	0	0	0	0	12	0	7	0	0	1	50	0	0	0	0	0	3	2	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	7	4	0	0	5	0	0	0	0	18	6	13	0	8	0	0	0	0	0	1	0	1	0	0	11	0	1	0	0	1	1907	0	6	0	0	0	0
OTU_2420	0	0	1	0	0	8	0	5	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	2	0	0	0	2	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	45	0	1	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	14	1	0	0	0	0	5	1	0	0	17	0	7	0	0	0	1
OTU_258	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	8	0	0	2	46	0	0	22	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	65	0	0	0	0	157	0	12	0	7	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	66	0	0	6	0	0	0	0	5	3	0	0	3	0	0	0	0	0	0
OTU_3745	0	0	6	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	228	0	0	227	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6	0	7	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	228	0	0	15	0	0	1	0	0	5	0	0	0	0	0	0
OTU_1998	0	0	6	0	0	2	0	0	0	1	0	3	3	94	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	29	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	46	0	0	187	0	0	8	0	0	0	7	0	0	0	0	0	0	0	0	0	0	1	0	0	0	41	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU_114	0	0	4	0	0	4	0	172	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	6	0	2	0	0	0	1	0	0	807	7	0	96	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	6	0	0	0	0	8	314	0	542	0	4	0	0	0	0	0	5	0	1	3	2	0	6	0	0	0	0	0	0	80	157	0	0	22	0	0	0	0	1	12	0	2	0	0	0	32
OTU_1125	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	9	0	0	7	0	0	0	0
OTU_2611	0	0	2	0	0	1	73	1	0	9	0	0	0	1	0	0	90	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1793	0	0	1	13	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	190	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	8	0	130	0	0	0	19
OTU_829	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	20	20	0	2	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	10	6	13	0	0	0	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	1	0	0	0	0	0	3	0	0	0	6
OTU_926	0	0	1	0	0	590	0	235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	16	0	0	0	2	0	0	123	0	0	2	1	0	0	0	0	6	2	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	10	0	1	0	8	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	3	0	0	0	1	0	0	0	1	0	14	0	0	0	0	0	4
OTU_1539	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_98	0	0	6	0	0	53	0	447	0	100	0	0	0	0	0	0	0	2	0	0	0	0	3	1	0	0	0	0	3	0	0	1	0	0	0	47	0	95	0	77	0	86	0	0	29	187	0	62	43	0	0	0	0	12	0	0	24	1	0	0	0	0	0	0	0	13	0	0	0	0	6	582	0	106	5	140	0	0	0	0	0	0	0	434	2	3	0	0	0	0	0	0	0	0	3033	87	0	0	29	1	110	0	0	0	73	0	41	0	0	0	51
OTU_120	0	0	6	0	0	267	602	168	0	90	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	34	25	391	0	14	0	71	0	0	33	14	0	25	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	79	0	28	79	42	0	0	0	3	0	0	0	424	0	3	0	18	0	0	0	0	0	3	474	38	0	0	1	0	48	0	0	0	163	0	113	0	0	0	76
OTU_295	0	0	3	0	0	157	0	23	0	0	4	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	24	0	0	16	0	0	40	80	0	0	0	0	0	0	0	5	0	0	0	0	12	0	0	23	0	0	0	0	0	0	83	0	46	0	32	0	0	0	0	0	0	0	26	0	13	0	4	0	0	0	0	0	0	0	24	0	0	7	0	0	3	0	0	5	0	2	0	0	0	5
OTU_73	0	0	1	0	0	0	0	15	27	40	6	1	1	380	1	0	0	4	0	0	4	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	85	185	2	13	73	0	1	318	175	0	5	597	0	0	0	0	10	0	0	40	3	0	0	0	526	0	0	0	0	0	0	0	0	0	250	0	28	91	46	0	41	0	0	0	0	0	75	0	2	4	0	0	0	0	0	0	0	1081	24	0	0	0	0	41	5	0	1	25	0	39	1	0	0	70
OTU_56	0	0	1	0	0	0	0	1	2	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	1	53	0	0	0	1	0	1	1	2	0	2	1	1	4	0	0	1	1	0	12	0	0	2	3	4	0	1	0	0	2	4	0	0	0	0	0	1	2	1	0	2	0	0	0	0	0	0	0	3	0	0	1	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	2	2	0	3	0	0	0	0	0	1	0	0	10	0	1	4970	1	0	0
OTU_139	0	0	3	0	0	362	0	12	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	33	0	7	0	24	0	157	0	0	18	22	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	73	0	90	0	10	0	0	1	0	0	0	0	217	0	9	0	0	0	0	0	0	0	0	623	67	0	0	12	0	101	0	0	0	51	0	68	0	0	0	21
OTU_1995	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
OTU_3136	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_470	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0
OTU_664	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
OTU_1377	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	8	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0
OTU_2480	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	9	0	3	0	0	0	4	0	0	4	0	0	18	1	1	0	0	0	0	4	1	0	6	0	3	0	0	0	0	0	0	0	0	0	0	0	12	0	8	30	0	0	0	2	0	0	0	0	3	2	0	0	0	17	0	1	0	1	0	0	7	0	0	4	0	2	0	0	0	13	0	0	0	0	0	2
