159389382	158357646	160400887	160259276	159571453	159915365	160542498	451588811	159490532	159227541	160643649	159207311	159551223	160461578	158114885	159308461	160765029	160704339	160178356	159369152	160158126	160502038	159632143	160016515	160056975	159611913	159005010	158883629	159753524	160481808	763721271	160097436	160421117	158438567	160218816	158924089	159247771	158236265	158499257	158418336	160582958	160380657	158216035	159591683	158802708	160603188	160663879	158276726	158337416	159450072	158458797	160684109	159510762	160441347	160137896	159672603	866653606	257905678	158964549	159429842	160319967	159166850	159328691	159288231	159713063	158742018	872848689	159814214	158013734	160239046	160845950	158398106	160036745	158479027	158155345	159146620	158721788	158944319	159268001	158256496	159085930
OTU_18	1154	40	438	65	126	153	29	287	193	581	561	523	229	81	179	711	384	1437	582	52	83	44	218	140	144	964	245	0	115	24	392	1106	63	175	930	2	53	23	268	114	57	134	27	17	308	152	116	396	125	157	329	137	815	32	219	148	4	75	0	2	110	37	37	593	31	147	27	238	130	15	103	62	193	113	58	37	37	246	333	147	377
OTU_37	3611	89	489	611	643	1509	314	1296	1993	2711	1218	455	2099	0	1027	3252	1716	1245	1866	1883	915	2056	2247	1093	1909	1191	1375	2176	188	213	1205	2382	2539	0	3704	4722	1142	1586	277	685	2530	0	1540	806	480	1060	66	486	321	2125	1560	1238	5223	166	1863	285	463	358	2798	1147	1575	552	1410	1237	0	1230	955	893	1633	37	7964	1007	235	637	563	584	224	759	163	179	910
OTU_74	51	24	106	75	104	24	0	22	16	25	33	72	56	13	0	33	16	29	36	0	11	30	85	45	0	45	51	0	0	11	1	0	10	98	0	0	0	7	143	0	30	38	2	0	51	218	22	2	2	0	18	0	116	0	3	42	3	116	102	0	0	11	27	37	0	86	11	66	143	10	41	70	23	69	19	0	0	43	1	139	65
OTU_19	220	0	21	6	230	12	0	0	49	14	3	211	54	0	2	0	174	1	186	0	25	3	23	0	0	20	238	0	68	0	4	0	0	0	1291	5	79	0	19	0	202	0	1	0	5	633	21	82	0	38	202	4	178	29	0	61	0	161	2	0	0	0	0	31	218	142	0	32	0	2	0	71	128	0	53	23	1	10	0	19	1
OTU_146	408	14	65	283	13	106	0	0	23	53	1	130	281	53	2	9	5	505	117	0	150	0	1	0	1267	32	374	0	0	0	23	93	0	1	1420	10	25	0	22	125	53	2416	70	3	149	90	351	46	75	0	179	77	0	3	433	0	0	355	1	2	45	1	94	19	11	0	3	135	211	33	26	189	4	49	42	1	204	174	366	4	305
OTU_1	402	1024	9	0	164	49	0	44	0	0	25	89	0	48	0	79	10	0	3	42	0	0	121	4	0	53	1	320	46	0	0	0	122	0	0	55	0	0	0	1508	101	161	8	0	750	180	29	0	42	34	0	80	0	35	77	157	0	479	6373	5	55	0	23	765	4	158	0	0	0	308	128	263	0	131	244	0	0	0	0	175	0
OTU_5	1203	237	435	145	193	537	230	583	305	94	233	213	382	0	473	4223	0	260	730	208	408	334	381	0	975	942	1192	0	148	2	237	129	438	0	5662	83	1166	135	297	622	890	0	13	0	67	448	151	344	90	327	119	123	655	202	0	163	316	945	6320	855	783	12	39	321	0	722	316	0	1061	300	436	69	0	517	103	508	180	487	159	250	485
OTU_6	238	5	9	8	14	72	15	98	18	303	763	51	104	317	515	56	50	18	161	16	22	80	22	19	17	165	50	4	18	1	738	68	74	151	397	0	10	63	33	91	125	84	151	2	406	167	19	233	57	74	9	165	609	3	1	1	15	54	3193	0	200	24	36	63	3	169	25	101	156	2	110	76	136	22	106	228	425	51	8	27	143
OTU_13	380	61	249	180	276	0	83	207	9	720	827	168	198	0	0	1057	63	238	0	0	212	795	760	0	610	13	487	0	0	0	0	0	1229	0	0	0	688	0	31	263	540	0	234	0	86	1431	465	126	0	0	794	0	568	151	195	278	268	141	0	236	156	138	67	0	0	0	193	0	0	47	705	638	0	39	359	673	162	19	644	170	406
OTU_9	537	17	265	51	155	188	396	378	1397	176	450	86	230	331	542	2279	581	144	863	1756	794	743	214	350	2765	497	395	998	111	34	484	2101	1053	5758	2677	666	1119	85	121	338	274	2066	382	694	172	728	959	122	48	1110	123	72	1584	108	291	74	315	602	4567	177	222	111	632	266	491	73	1342	234	517	16	660	336	69	113	71	551	15	77	159	21	593
OTU_56	74	8	43	0	11	17	0	13	0	7	94	4	10	3	23	193	68	8	12	0	9	13	1	0	3	4	28	0	1	1	11	0	0	102	247	0	10	1	6	5	1	0	7	0	51	31	0	0	6	0	242	5	154	2	0	23	0	39	1	0	0	0	18	83	4	97	0	3	103	2	3	0	0	2	0	0	9	3	12	46	13
OTU_646	209	0	52	2	5	15	6	18	6	2	47	90	25	1	0	9	16	164	148	28	7	0	45	46	155	17	48	0	0	1	1	49	129	34	44	0	16	1	308	24	3	17	1	3	126	6	5	5	64	2	0	1	42	4	0	18	6	119	4	0	15	0	0	134	0	5	9	3	61	0	36	15	40	53	15	48	57	113	45	93	82
OTU_71	140	0	6	0	8	30	0	11	306	51	19	21	63	3	104	11	84	91	6	6	1	10	21	1	0	14	29	0	0	15	14	7	28	24	45	0	13	39	10	13	5	55	48	0	10	13	23	11	5	44	2	0	41	0	1	3	0	0	0	0	20	75	0	12	0	13	1	136	20	4	54	8	0	0	13	4	28	1	8	3	19
OTU_371	54	92	62	0	0	2	0	5	3	1	6	8	0	6	5	0	11	0	2	0	0	3	0	2	0	0	3	1	0	0	2	0	2	13	15	0	0	0	4	9	0	7	0	3	0	1	0	3	10	0	0	1	0	0	0	4	5	0	2	0	2	0	0	13	0	33	0	2	5	0	0	2	0	0	0	2	0	0	0	9	0
OTU_79	15	2	3	0	0	1	1	0	2	2	2	0	0	2	2	13	6	17	1	6	13	245	0	3	20	2	1	0	78	0	2	2	1	3	3	1	3	0	1	0	0	9	0	0	5	2	1	1	2	6	6	1	5	3	4	0	0	11	77	0	3	0	2	9	0	6	0	7	9	7	2	1	3	0	2	6	32	4	7	6	1
