754255736_2_ITS2	158357646_1_ITS2	160239046_1_ITS2	159146620_2_ITS2	872848689_1_ITS2	160582958_3_ITS2	160845950_2_ITS2	158984779_1_ITS2	158499257_1_ITS2	158155345_1_ITS2	604812005_3_ITS2	161493313_1_ITS2	159005010_2_ITS2	528503860_2_ITS2	838529239_3_ITS2	160744799_1_ITS2	159247771_1_ITS2	160866180_3_ITS2	159389382_3_ITS2	536137189_1_ITS2	161554003_2_ITS2	158155345_2_ITS2	158721788_2_ITS2	160097436_2_ITS2	158256496_1_ITS2	158883629_1_ITS2	161007791_2_ITS2	160603188_3_ITS2	159207311_3_ITS2	158479027_2_ITS2	160684109_1_ITS2	892969023_2_ITS2	160218816_1_ITS2	159146620_1_ITS2	159571453_2_ITS2	160218816_2_ITS2	872848689_2_ITS2	165795303_2_ITS2	159429842_1_ITS2	159369152_2_ITS2	159591683_2_ITS2	295137534_2_ITS2	964271349_1_ITS2	159085930_1_ITS2	161230322_1_ITS2	161331472_3_ITS2	159450072_1_ITS2	161230322_2_ITS2	158276726_2_ITS2	161351702_3_ITS2	937415040_1_ITS2	604812005_1_ITS2	160967330_1_ITS2	161473083_1_ITS2	160380657_3_ITS2	160178356_2_ITS2	160684109_2_ITS2	159166850_1_ITS2	920125525_1_ITS2	160502038_2_ITS2	160036745_2_ITS2	160582958_2_ITS2	161311242_1_ITS2	160340197_1_ITS2	514014184_2_ITS2	159632143_1_ITS2	160481808_1_ITS2	763721271_1_ITS2	160582958_1_ITS2	274584131_1_ITS2	161007791_1_ITS2	159733294_2_ITS2	336497421_3_ITS2	866653606_3_ITS2	159268001_2_ITS2	159207311_2_ITS2	160643649_1_ITS2	158702524_2_ITS2	970836795_1_ITS2	970836795_2_ITS2	368533040_1_ITS2	161270782_1_ITS2	159490532_1_ITS2	866653606_1_ITS2	160259276_1_ITS2	160056975_1_ITS2	159814214_1_ITS2	160380657_2_ITS2	158944319_3_ITS2	160967330_2_ITS2	158924089_2_ITS2	158742018_2_ITS2	158702524_1_ITS2	160036745_1_ITS2	638754422_1_ITS2	451588811_1_ITS2	158721788_1_ITS2	161331472_2_ITS2	160158126_1_ITS2	241812656_1_ITS2	160886410_1_ITS2	160016515_1_ITS2	158418336_1_ITS2	211857324_1_ITS2	160603188_1_ITS2	686765762_3_ITS2	160502038_3_ITS2	797461496_1_ITS2	161493313_2_ITS2	840279516_1_ITS2	160765029_2_ITS2	158883629_2_ITS2	604812005_2_ITS2	159450072_2_ITS2	159288231_1_ITS2	160502038_1_ITS2	218370768_2_ITS2	160178356_1_ITS2	159753524_2_ITS2	159814214_2_ITS2	160137896_1_ITS2	370425937_2_ITS2	159308461_2_ITS2	159288231_3_ITS2	158964549_2_ITS2	159025240_1_ITS2	536137189_2_ITS2	161412393_2_ITS2	206906765_1_ITS2	866653606_2_ITS2	246515023_3_ITS2	596951878_1_ITS2	788731474_1_ITS2	218370768_1_ITS2	797461496_2_ITS2	158742018_1_ITS2	937495960_1_ITS2	160441347_1_ITS2	159288231_2_ITS2	159672603_2_ITS2	160947100_3_ITS2	451588811_2_ITS2	158236265_1_ITS2	161311242_3_ITS2	160056975_2_ITS2	159510762_3_ITS2	160987560_1_ITS2	158964549_1_ITS2	336497421_2_ITS2	160906640_2_ITS2	159632143_2_ITS2	160866180_2_ITS2	368533040_3_ITS2	158216035_1_ITS2	211857324_2_ITS2	754255736_1_ITS2	159227541_2_ITS2	686765762_1_ITS2	160947100_2_ITS2	160987560_3_ITS2	160866180_1_ITS2	158013734_1_ITS2	158033964_1_ITS2	158337416_1_ITS2	514014184_1_ITS2	383631637_1_ITS2	160825720_2_ITS2	158458797_2_ITS2	159227541_1_ITS2	257905678_1_ITS2	797461496_3_ITS2	536137189_3_ITS2	937415040_2_ITS2	160097436_1_ITS2	432193348_2_ITS2	159551223_1_ITS2	160421117_3_ITS2	159733294_3_ITS2	160603188_2_ITS2	158337416_2_ITS2	157953044_2_ITS2	159490532_2_ITS2	533247696_1_ITS2	288054731_2_ITS2	160400887_2_ITS2	206906765_2_ITS2	368533040_2_ITS2	158944319_1_ITS2	158114885_2_ITS2	158438567_1_ITS2	257905678_2_ITS2	159611913_1_ITS2	158114885_1_ITS2	158438567_2_ITS2	159753524_3_ITS2	158479027_1_ITS2	414519462_3_ITS2	160765029_1_ITS2	159713063_2_ITS2	160400887_1_ITS2	838529239_2_ITS2	159470302_1_ITS2	161412393_3_ITS2	158216035_2_ITS2	414519462_1_ITS2	160947100_1_ITS2	161068481_1_ITS2	840279516_2_ITS2	596951878_2_ITS2	165795303_1_ITS2	160158126_2_ITS2	160056975_3_ITS2	159146620_3_ITS2	158398106_2_ITS2	158822939_1_ITS2	211857324_3_ITS2	160987560_2_ITS2	161068481_2_ITS2	159166850_2_ITS2	161554003_1_ITS2	159915365_2_ITS2	159207311_1_ITS2	160461578_2_ITS2	161412393_1_ITS2	159389382_1_ITS2	838529239_1_ITS2	161331472_1_ITS2	160421117_2_ITS2	159268001_1_ITS2	788731474_2_ITS2	432193348_1_ITS2	159510762_2_ITS2	160845950_1_ITS2	288054731_1_ITS2	158013734_2_ITS2	160643649_2_ITS2	158296956_2_ITS2	920125525_2_ITS2	160845950_3_ITS2	159551223_2_ITS2	160380657_1_ITS2	937495960_2_ITS2	158802708_3_ITS2	159915365_1_ITS2	158398106_1_ITS2	158883629_3_ITS2	414519462_2_ITS2	383631637_2_ITS2	160704339_1_ITS2	159247771_2_ITS2	158357646_2_ITS2	158458797_1_ITS2	158033964_2_ITS2	763721271_2_ITS2	160319967_3_ITS2	638754422_2_ITS2	159672603_1_ITS2	159733294_1_ITS2	158802708_2_ITS2	158499257_2_ITS2	157953044_1_ITS2	159328691_1_ITS2	160421117_1_ITS2	686765762_2_ITS2	159611913_2_ITS2	257905678_3_ITS2	763721271_3_ITS2	159005010_1_ITS2	161351702_2_ITS2	160319967_1_ITS2	159571453_1_ITS2	159713063_1_ITS2	630023501_2_ITS2	160704339_2_ITS2	159085930_2_ITS2	160967330_3_ITS2	160906640_1_ITS2	937495960_3_ITS2	160825720_1_ITS2	892969023_1_ITS2	370425937_1_ITS2	158802708_1_ITS2	160461578_1_ITS2	160542498_1_ITS2	274584131_2_ITS2	638754422_3_ITS2	533247696_2_ITS2	158924089_1_ITS2	160340197_2_ITS2	160259276_2_ITS2	159227541_3_ITS2	158276726_1_ITS2	160663879_1_ITS2	159308461_1_ITS2	158256496_2_ITS2	159753524_1_ITS2	160319967_2_ITS2	158296956_1_ITS2	158418336_2_ITS2	158236265_2_ITS2	161311242_2_ITS2	336497421_1_ITS2	159389382_2_ITS2	159470302_2_ITS2	159369152_1_ITS2	630023501_1_ITS2	160178356_3_ITS2	295137534_1_ITS2	159510762_1_ITS2	161270782_2_ITS2	160744799_2_ITS2	528503860_1_ITS2	161351702_1_ITS2	158944319_2_ITS2	159591683_1_ITS2	161028021_1_ITS2
OTU_409	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_504	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	126	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	1	0	0	0	0	13	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	103	0	0	0	0	0	0
OTU_22	0	0	0	0	0	0	1	0	834	0	0	0	124	0	1	1	0	0	0	0	0	4471	0	0	0	0	0	0	0	0	0	0	10	843	477	0	0	0	0	0	0	0	0	0	0	0	3	0	675	0	0	0	1	0	0	5448	0	560	0	0	0	0	0	0	0	0	0	0	0	0	0	1	118	0	0	0	0	1	0	0	0	0	0	0	445	0	0	0	0	0	0	0	0	0	0	1953	0	0	0	0	0	0	89	725	0	0	0	0	0	0	0	350	0	1317	0	0	0	0	0	1226	0	0	0	0	0	0	0	0	0	0	0	326	97	0	0	0	0	268	0	0	247	27	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	1	0	1	0	0	1	385	0	0	0	0	0	74	0	0	0	0	0	62	4314	0	0	0	0	0	0	1	176	0	0	0	0	809	0	0	0	1739	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	108	0	0	0	0	0	0	0	163	0	0	0	0	0	0	37	0	0	0	1550	0	0	0	0	165	0	0	0	0	0	0	607	0	0	0	0	0	0	1993	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1398	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	1368	0	1	1	0	0	0	0	0	0	0	0
OTU_339	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_149	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	1	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	583	1	0	0	0	0	0	1	0	0	33	2037	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_33	0	0	0	0	0	0	1	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12803	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	5911	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5592	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1379	0	2	0	0	0
OTU_125	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	607	0	0	0	409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	718	0	0	0	0	0	0	0	0	0	0	445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_516	0	0	0	0	0	0	1	0	0	0	214	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	215	0	0	0	0	1	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	217	0	0	0	0	1405	0	0	0	0	0	0	2	1	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	210	0	0	0	15	0	0	1	0	0	0	0	0	1	0	0	0	1	0	3	0	0	0	546	2	0	0	0	2	0	0	0	1135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	453	0	75	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	857	0	0	0	0	0	43	0	2	96	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	16	0	27	0	22	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	502	0	1101	0	0	0	0	0	0	0	1	0	0	0
OTU_527	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU_555	0	0	0	0	0	0	0	1	0	0	0	4	0	10	0	0	5	0	0	0	0	0	0	13	1	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	1	0	20	0	0	0	1	0	15	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	47	8	0	0	0	0	0	0	119	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	14	0	0	41	0	0	0	0	0	0	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	1	0	0	0	0	0	2	0	2	1	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	46	0	0	24	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	1	0	0	1	0	28	0	0	0	0	0	4	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU_562	0	0	0	0	0	0	0	1	0	5	0	1	0	1	0	9	5	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	13	1	0	0	0	0	0	3	1	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	1	1	0	9	1	1	1	0	0	3	2	0	0	0	1	3	0	0	0	10	0	0	0	5	0	0	0	0	4	0	2	0	0	0	0	0	1	3	0	1	0	0	0	1	0	0	5	1	0	0	4	0	0	1	0	2	1	0	0	5	0	0	0	0	2	3	0	0	1	0	0	0	2	1	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	1	0	0	0	6	5	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	1	1	0	0	0	0	0	12	0	0	1	2	0	0	1	13	1	2	0	5	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	9	0	0	0	1	0	0	1	0	2	0	0	0	0	4	0	0	4	1	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	4	0	1	0	2	0	0	0	0	2	0	8	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	6	0
OTU_26	0	0	0	0	0	0	0	0	0	158	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	4	1	0	0	0	0	0	0	0	0	0	0	510	0	0	0	0	0	308	0	3268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	284	3250	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1570	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	282	0	0	1177	0	0	0	0	0	1041	0	91	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	301	0	1212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	231	0	0	0	0	0	0	0	331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17748	0	0	0	2	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
OTU_237	0	0	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_459	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_292	0	0	0	0	0	0	0	0	0	438	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_215	0	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
